gene_id	baseMn	l2fc	lfcSE	stat	pval	padj		ecdf	rownum	pvalcorrRaw
ZNF383	8.98E+01	0.29	0.12	2.42E+00	1.55E-02	1.00E+00		0.264840183	58	5.85E-02
SLAIN1	2.34E+01	0.61	0.25	2.42E+00	1.56E-02	1.00E+00		0.269406393	59	5.79E-02
BNC2	1.06E+02	0.92	0.38	2.41E+00	1.58E-02	1.00E+00		0.273972603	60	5.77E-02
MGAT4C	1.34E+01	0.92	0.38	2.41E+00	1.58E-02	1.00E+00		0.278538813	61	5.67E-02
GULP1	1.07E+02	0.37	0.16	2.41E+00	1.61E-02	1.00E+00		0.283105023	62	5.69E-02
NADK	5.25E+02	0.17	0.07	2.41E+00	1.62E-02	1.00E+00		0.287671233	63	5.63E-02
UAP1	1.98E+02	0.25	0.1	2.38E+00	1.74E-02	1.00E+00		0.292237443	64	5.95E-02
CLDN16	1.25E+00	3.28	1.38	2.37E+00	1.76E-02	1.00E+00		0.296803653	65	5.93E-02
SMIM10L2B	1.19E+01	0.9	0.38	2.37E+00	1.77E-02	1.00E+00		0.301369863	66	5.87E-02
ARHGEF39	1.63E+01	0.63	0.27	2.37E+00	1.79E-02	1.00E+00		0.305936073	67	5.85E-02
SLC9A2	2.43E+00	2.03	0.86	2.37E+00	1.80E-02	1.00E+00		0.310502283	68	5.80E-02
ZBTB37	2.42E+02	0.32	0.13	2.36E+00	1.83E-02	1.00E+00		0.315068493	69	5.81E-02
SAMD10	1.04E+01	1.01	0.43	2.36E+00	1.84E-02	1.00E+00		0.319634703	70	5.76E-02
COL22A1	1.34E+00	2.64	1.12	2.35E+00	1.86E-02	1.00E+00		0.324200913	71	5.74E-02
PCDHA13	2.74E+00	1.93	0.82	2.35E+00	1.87E-02	1.00E+00		0.328767123	72	5.69E-02
OR2C3	3.15E+01	0.73	0.31	2.35E+00	1.87E-02	1.00E+00		0.333333333	73	5.61E-02
RBMS2	4.38E+02	0.24	0.1	2.34E+00	1.92E-02	1.00E+00		0.337899543	74	5.68E-02
NAIF1	1.56E+02	0.32	0.14	2.34E+00	1.93E-02	1.00E+00		0.342465753	75	5.64E-02
ZNF180	1.04E+02	0.29	0.12	2.34E+00	1.93E-02	1.00E+00		0.347031963	76	5.56E-02
VANGL2	6.75E+02	0.21	0.09	2.34E+00	1.95E-02	1.00E+00		0.351598174	77	5.55E-02
PDXK	2.95E+02	0.22	0.09	2.33E+00	2.00E-02	1.00E+00		0.356164384	78	5.62E-02
TIAM1	5.32E+02	0.2	0.08	2.32E+00	2.01E-02	1.00E+00		0.360730594	79	5.57E-02
JAKMIP1	1.58E+00	2.8	1.21	2.31E+00	2.06E-02	1.00E+00		0.365296804	80	5.64E-02
FAM126B	4.07E+02	0.28	0.12	2.32E+00	2.06E-02	1.00E+00		0.369863014	81	5.57E-02
TBX2	4.92E+00	1.18	0.51	2.31E+00	2.07E-02	1.00E+00		0.374429224	82	5.53E-02
RASSF9	5.22E+01	0.43	0.19	2.30E+00	2.15E-02	1.00E+00		0.378995434	83	5.67E-02
STAC2	1.02E+00	2.95	1.29	2.30E+00	2.17E-02	1.00E+00		0.383561644	84	5.66E-02
CRISPLD2	4.69E+00	1.22	0.53	2.29E+00	2.22E-02	1.00E+00		0.388127854	85	5.72E-02
ORAI1	5.72E+01	0.47	0.2	2.29E+00	2.22E-02	1.00E+00		0.392694064	86	5.65E-02
SMIM27	2.74E+00	1.55	0.68	2.29E+00	2.23E-02	1.00E+00		0.397260274	87	5.61E-02
OR10G3	5.08E+00	1.43	0.63	2.28E+00	2.26E-02	1.00E+00		0.401826484	88	5.62E-02
PROSER3	2.98E+01	0.56	0.24	2.28E+00	2.26E-02	1.00E+00		0.406392694	89	5.56E-02
ETS2	8.19E+02	0.22	0.1	2.26E+00	2.38E-02	1.00E+00		0.410958904	90	5.79E-02
STXBP4	7.20E+01	0.37	0.16	2.26E+00	2.39E-02	1.00E+00		0.415525114	91	5.75E-02
OR11A1	1.54E+00	2.47	1.1	2.26E+00	2.41E-02	1.00E+00		0.420091324	92	5.74E-02
ZKSCAN3	7.04E+01	0.33	0.15	2.26E+00	2.41E-02	1.00E+00		0.424657534	93	5.68E-02
CCDC122	2.46E+01	0.55	0.24	2.24E+00	2.49E-02	1.00E+00		0.429223744	94	5.80E-02
CLEC17A	1.51E+00	2.81	1.25	2.24E+00	2.52E-02	1.00E+00		0.433789954	95	5.81E-02
CRLS1	2.14E+02	0.25	0.11	2.24E+00	2.54E-02	1.00E+00		0.438356164	96	5.79E-02
HHIP	1.30E+00	2.63	1.18	2.23E+00	2.57E-02	1.00E+00		0.442922374	97	5.80E-02
CCBE1	4.19E+00	1.6	0.72	2.23E+00	2.57E-02	1.00E+00		0.447488584	98	5.74E-02
MYOG	4.82E+00	1.14	0.51	2.23E+00	2.57E-02	1.00E+00		0.452054795	99	5.69E-02
SERPINB9	1.70E+03	0.16	0.07	2.23E+00	2.60E-02	1.00E+00		0.456621005	100	5.69E-02
DTD2	8.85E+01	0.29	0.13	2.22E+00	2.62E-02	1.00E+00		0.461187215	101	5.68E-02
PEX26	3.13E+02	0.22	0.1	2.22E+00	2.62E-02	1.00E+00		0.465753425	102	5.63E-02
ANKDD1B	3.50E+00	1.49	0.67	2.22E+00	2.64E-02	1.00E+00		0.470319635	103	5.61E-02
ZNF555	7.63E+01	0.29	0.13	2.22E+00	2.66E-02	1.00E+00		0.474885845	104	5.60E-02
METTL2A	2.07E+02	0.22	0.1	2.22E+00	2.66E-02	1.00E+00		0.479452055	105	5.55E-02
ZMYM6	9.94E+01	0.28	0.13	2.22E+00	2.67E-02	1.00E+00		0.484018265	106	5.52E-02
TAPBP	3.36E+02	0.2	0.09	2.21E+00	2.70E-02	1.00E+00		0.488584475	107	5.53E-02
GLI2	2.32E+00	1.63	0.74	2.21E+00	2.72E-02	1.00E+00		0.493150685	108	5.52E-02
PSD4	9.01E+00	0.94	0.43	2.21E+00	2.72E-02	1.00E+00		0.497716895	109	5.46E-02
IL1B	1.34E+01	0.8	0.36	2.20E+00	2.77E-02	1.00E+00		0.502283105	110	5.51E-02
XIAP	5.63E+02	0.22	0.1	2.20E+00	2.81E-02	1.00E+00		0.506849315	111	5.54E-02
GXYLT2	3.10E+01	0.62	0.29	2.19E+00	2.87E-02	1.00E+00		0.511415525	112	5.61E-02
SPAG16	8.21E+01	0.33	0.15	2.19E+00	2.88E-02	1.00E+00		0.515981735	113	5.58E-02
L3MBTL4	5.44E+00	1.17	0.54	2.18E+00	2.94E-02	1.00E+00		0.520547945	114	5.65E-02
DHRS4L2	1.01E+02	0.38	0.17	2.18E+00	2.95E-02	1.00E+00		0.525114155	115	5.62E-02
RGL4	1.33E+01	0.64	0.3	2.17E+00	2.97E-02	1.00E+00		0.529680365	116	5.61E-02
CD47	6.04E+02	0.22	0.1	2.17E+00	2.98E-02	1.00E+00		0.534246575	117	5.58E-02
UBL3	1.90E+02	0.24	0.11	2.17E+00	2.99E-02	1.00E+00		0.538812785	118	5.55E-02
TMEM233	4.73E+01	0.42	0.19	2.17E+00	3.01E-02	1.00E+00		0.543378995	119	5.54E-02
FANCB	3.13E+01	0.47	0.22	2.17E+00	3.02E-02	1.00E+00		0.547945205	120	5.51E-02
ZNF431	1.68E+02	0.26	0.12	2.16E+00	3.06E-02	1.00E+00		0.552511416	121	5.54E-02
TMEM161B	5.00E+01	0.43	0.2	2.16E+00	3.10E-02	1.00E+00		0.557077626	122	5.56E-02
NLRP10	1.70E+00	2.22	1.03	2.16E+00	3.11E-02	1.00E+00		0.561643836	123	5.54E-02
ALG13	1.94E+02	0.19	0.09	2.15E+00	3.13E-02	1.00E+00		0.566210046	124	5.53E-02
H2AC15	1.36E+00	2.25	1.05	2.15E+00	3.14E-02	1.00E+00		0.570776256	125	5.50E-02
CFAP157	6.98E+00	1.06	0.49	2.15E+00	3.16E-02	1.00E+00		0.575342466	126	5.49E-02
MDM4	2.00E+02	0.27	0.12	2.15E+00	3.16E-02	1.00E+00		0.579908676	127	5.45E-02
ZDHHC4	1.39E+02	0.26	0.12	2.15E+00	3.19E-02	1.00E+00		0.584474886	128	5.46E-02
AP5Z1	2.83E+02	0.24	0.11	2.15E+00	3.19E-02	1.00E+00		0.589041096	129	5.42E-02
OR14J1	6.86E+01	0.4	0.19	2.14E+00	3.20E-02	1.00E+00		0.593607306	130	5.39E-02
HECA	5.64E+02	0.21	0.1	2.14E+00	3.20E-02	1.00E+00		0.598173516	131	5.35E-02
DDT	7.32E+01	0.35	0.16	2.14E+00	3.22E-02	1.00E+00		0.602739726	132	5.34E-02
FAM161A	1.02E+02	0.29	0.14	2.13E+00	3.31E-02	1.00E+00		0.607305936	133	5.45E-02
CYP1B1	1.39E+03	0.29	0.14	2.13E+00	3.35E-02	1.00E+00		0.611872146	134	5.48E-02
GLB1L2	4.18E+00	1.7	0.8	2.12E+00	3.40E-02	1.00E+00		0.616438356	135	5.52E-02
GDPGP1	1.47E+01	0.61	0.29	2.12E+00	3.40E-02	1.00E+00		0.621004566	136	5.48E-02
ALG9	1.37E+02	0.22	0.1	2.12E+00	3.41E-02	1.00E+00		0.625570776	137	5.45E-02
OR51E2	1.83E+00	2.87	1.36	2.12E+00	3.43E-02	1.00E+00		0.630136986	138	5.44E-02
FUT6	3.21E+00	1.52	0.72	2.11E+00	3.45E-02	1.00E+00		0.634703196	139	5.44E-02
RAVER1	2.23E+02	0.2	0.1	2.11E+00	3.45E-02	1.00E+00		0.639269406	140	5.40E-02
H4C2	1.20E+00	2.5	1.18	2.11E+00	3.46E-02	1.00E+00		0.643835616	141	5.37E-02
CMA1	9.95E-01	3.21	1.52	2.11E+00	3.47E-02	1.00E+00		0.648401826	142	5.35E-02
NUDT15	2.23E+02	0.19	0.09	2.11E+00	3.47E-02	1.00E+00		0.652968037	143	5.31E-02
IL17RA	4.47E+02	0.17	0.08	2.11E+00	3.51E-02	1.00E+00		0.657534247	144	5.34E-02
TXNDC2	2.64E+00	1.56	0.74	2.11E+00	3.52E-02	1.00E+00		0.662100457	145	5.32E-02
PRDM5	5.00E+01	0.34	0.16	2.10E+00	3.56E-02	1.00E+00		0.666666667	146	5.34E-02
SLC8A3	2.72E+01	0.48	0.23	2.10E+00	3.57E-02	1.00E+00		0.671232877	147	5.32E-02
ARFGAP3	5.63E+02	0.15	0.07	2.10E+00	3.59E-02	1.00E+00		0.675799087	148	5.31E-02
CARNMT1	5.25E+02	0.21	0.1	2.10E+00	3.61E-02	1.00E+00		0.680365297	149	5.31E-02
RABL2A	2.22E+01	0.79	0.38	2.09E+00	3.66E-02	1.00E+00		0.684931507	150	5.34E-02
TCAIM	1.54E+02	0.25	0.12	2.09E+00	3.66E-02	1.00E+00		0.689497717	151	5.31E-02
WDR90	1.84E+01	0.63	0.3	2.09E+00	3.68E-02	1.00E+00		0.694063927	152	5.30E-02
MYLK3	6.73E+00	1.2	0.58	2.09E+00	3.69E-02	1.00E+00		0.698630137	153	5.28E-02
NOPCHAP1	3.45E+02	0.34	0.16	2.08E+00	3.71E-02	1.00E+00		0.703196347	154	5.28E-02
POGLUT1	1.42E+02	0.23	0.11	2.08E+00	3.74E-02	1.00E+00		0.707762557	155	5.28E-02
SLC19A2	1.11E+02	0.28	0.13	2.08E+00	3.77E-02	1.00E+00		0.712328767	156	5.29E-02
BEST3	7.11E+00	0.88	0.42	2.07E+00	3.82E-02	1.00E+00		0.716894977	157	5.33E-02
SMAD3	6.92E+02	0.16	0.08	2.07E+00	3.82E-02	1.00E+00		0.721461187	158	5.29E-02
PCOTH	1.96E+00	2.22	1.07	2.07E+00	3.83E-02	1.00E+00		0.726027397	159	5.28E-02
ZNF766	1.72E+02	0.22	0.11	2.07E+00	3.83E-02	1.00E+00		0.730593607	160	5.24E-02
YIPF4	4.47E+02	0.2	0.1	2.07E+00	3.83E-02	1.00E+00		0.735159817	161	5.21E-02
ZNF460	3.80E+01	0.48	0.23	2.07E+00	3.85E-02	1.00E+00		0.739726027	162	5.20E-02
PARVG	3.01E+00	1.33	0.65	2.07E+00	3.89E-02	1.00E+00		0.744292237	163	5.23E-02
PLIN5	1.14E+00	2.34	1.13	2.06E+00	3.91E-02	1.00E+00		0.748858447	164	5.22E-02
ZNF585B	4.48E+01	0.46	0.22	2.06E+00	3.92E-02	1.00E+00		0.753424658	165	5.20E-02
IFITM1	5.95E+00	1.3	0.63	2.05E+00	4.00E-02	1.00E+00		0.757990868	166	5.28E-02
LYSMD1	3.75E+01	0.44	0.21	2.05E+00	4.00E-02	1.00E+00		0.762557078	167	5.25E-02
ZNF101	1.89E+02	0.18	0.09	2.05E+00	4.00E-02	1.00E+00		0.767123288	168	5.21E-02
ZNF827	1.65E+02	0.22	0.11	2.05E+00	4.07E-02	1.00E+00		0.771689498	169	5.27E-02
NSG1	1.53E+00	1.89	0.93	2.05E+00	4.08E-02	1.00E+00		0.776255708	170	5.26E-02
CIDEA	9.86E-01	2.84	1.39	2.04E+00	4.09E-02	1.00E+00		0.780821918	171	5.24E-02
PANK2	3.99E+02	0.18	0.09	2.04E+00	4.10E-02	1.00E+00		0.785388128	172	5.22E-02
TMEM184B	2.07E+02	0.21	0.1	2.04E+00	4.15E-02	1.00E+00		0.789954338	173	5.25E-02
HLA-G	3.47E+00	1.35	0.66	2.04E+00	4.17E-02	1.00E+00		0.794520548	174	5.25E-02
SLC14A1	2.87E+00	1.65	0.81	2.04E+00	4.18E-02	1.00E+00		0.799086758	175	5.23E-02
MEIOC	3.53E+00	1.17	0.57	2.03E+00	4.19E-02	1.00E+00		0.803652968	176	5.21E-02
SH2D3A	2.15E+00	1.95	0.96	2.03E+00	4.24E-02	1.00E+00		0.808219178	177	5.25E-02
BST2	3.36E+02	0.23	0.11	2.03E+00	4.24E-02	1.00E+00		0.812785388	178	5.22E-02
DLX2	9.38E+00	0.86	0.43	2.02E+00	4.34E-02	1.00E+00		0.817351598	179	5.31E-02
KIAA0895L	5.47E+01	0.37	0.19	2.02E+00	4.35E-02	1.00E+00		0.821917808	180	5.29E-02
ZNF8	8.73E+01	0.28	0.14	2.02E+00	4.37E-02	1.00E+00		0.826484018	181	5.29E-02
GSTCD	1.75E+02	0.27	0.13	2.01E+00	4.47E-02	1.00E+00		0.831050228	182	5.38E-02
C21orf62	3.21E+00	1.34	0.67	2.00E+00	4.51E-02	1.00E+00		0.835616438	183	5.40E-02
WDR53	1.23E+02	0.27	0.14	2.00E+00	4.53E-02	1.00E+00		0.840182648	184	5.39E-02
DBP	3.20E+00	1.28	0.64	2.00E+00	4.54E-02	1.00E+00		0.844748858	185	5.37E-02
SMIM41	2.85E+00	1.53	0.77	2.00E+00	4.58E-02	1.00E+00		0.849315068	186	5.39E-02
ATXN3	1.84E+02	0.25	0.12	2.00E+00	4.60E-02	1.00E+00		0.853881279	187	5.39E-02
MFSD4B	3.51E+02	0.27	0.13	1.99E+00	4.61E-02	1.00E+00		0.858447489	188	5.37E-02
NDN	2.80E+02	0.23	0.12	1.99E+00	4.62E-02	1.00E+00		0.863013699	189	5.35E-02
C2orf92	3.23E+00	1.41	0.71	1.99E+00	4.63E-02	1.00E+00		0.867579909	190	5.34E-02
RC3H1	2.14E+02	0.25	0.13	1.99E+00	4.63E-02	1.00E+00		0.872146119	191	5.31E-02
SLC9A7	9.10E+01	0.28	0.14	1.99E+00	4.65E-02	1.00E+00		0.876712329	192	5.30E-02
RUNDC1	1.21E+02	0.23	0.12	1.99E+00	4.65E-02	1.00E+00		0.881278539	193	5.28E-02
WIZ	1.64E+02	0.22	0.11	1.99E+00	4.65E-02	1.00E+00		0.885844749	194	5.25E-02
BLOC1S3	3.10E+01	0.46	0.23	1.99E+00	4.67E-02	1.00E+00		0.890410959	195	5.24E-02
ABCA5	1.59E+02	0.21	0.1	1.99E+00	4.67E-02	1.00E+00		0.894977169	196	5.22E-02
LBHD1	8.90E+01	0.32	0.16	1.99E+00	4.69E-02	1.00E+00		0.899543379	197	5.21E-02
ZNF146	1.09E+03	0.23	0.12	1.99E+00	4.69E-02	1.00E+00		0.904109589	198	5.19E-02
SLC13A4	1.57E+00	2	1.01	1.99E+00	4.71E-02	1.00E+00		0.908675799	199	5.18E-02
COL5A3	9.51E+01	0.37	0.18	1.98E+00	4.73E-02	1.00E+00		0.913242009	200	5.18E-02
EEF1AKMT4	1.21E+01	0.73	0.37	1.98E+00	4.74E-02	1.00E+00		0.917808219	201	5.16E-02
IRF6	4.69E+02	0.2	0.1	1.98E+00	4.75E-02	1.00E+00		0.922374429	202	5.15E-02
LENG1	1.15E+02	0.32	0.16	1.98E+00	4.76E-02	1.00E+00		0.926940639	203	5.14E-02
KLHL33	5.33E+00	1.29	0.65	1.98E+00	4.77E-02	1.00E+00		0.931506849	204	5.12E-02
DNAJC24	1.04E+02	0.24	0.12	1.98E+00	4.80E-02	1.00E+00		0.936073059	205	5.13E-02
APRT	1.27E+02	0.3	0.15	1.97E+00	4.86E-02	1.00E+00		0.940639269	206	5.17E-02
ELP6	2.04E+02	0.19	0.1	1.97E+00	4.87E-02	1.00E+00		0.945205479	207	5.15E-02
CTRC	4.26E+00	1.12	0.57	1.97E+00	4.88E-02	1.00E+00		0.949771689	208	5.14E-02
PTPRU	4.01E+01	0.35	0.18	1.97E+00	4.91E-02	1.00E+00		0.9543379	209	5.14E-02
TCTN2	8.75E+01	0.34	0.17	1.97E+00	4.91E-02	1.00E+00		0.95890411	210	5.12E-02
ZMYM1	1.03E+02	0.27	0.14	1.97E+00	4.91E-02	1.00E+00		0.96347032	211	5.10E-02
OR7D4	3.48E+00	1.27	0.64	1.97E+00	4.92E-02	1.00E+00		0.96803653	212	5.08E-02
TRAF1	1.37E+01	0.67	0.34	1.97E+00	4.93E-02	1.00E+00		0.97260274	213	5.07E-02
DNAL1	1.13E+02	0.28	0.14	1.96E+00	4.95E-02	1.00E+00		0.97716895	214	5.07E-02
OR7A17	2.42E+00	1.46	0.74	1.96E+00	4.97E-02	1.00E+00		0.98173516	215	5.06E-02
OR4D9	4.49E+00	1.31	0.67	1.96E+00	4.97E-02	1.00E+00		0.98630137	216	5.04E-02
DALRD3	3.13E+01	0.49	0.25	1.96E+00	4.97E-02	1.00E+00		0.99086758	217	5.02E-02
ZNF134	1.86E+02	0.21	0.11	1.96E+00	4.98E-02	1.00E+00		0.99543379	218	5.00E-02
STK36	1.24E+02	0.25	0.13	1.96E+00	5.00E-02	1.00E+00		1	219	5.00E-02
