gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
NLRP10	1.70e+00	2.22	1.03	2.16e+00	3.11e-02	1.00e+00
ALG13	1.94e+02	0.19	0.09	2.15e+00	3.13e-02	1.00e+00
H2AC15	1.36e+00	2.25	1.05	2.15e+00	3.14e-02	1.00e+00
CFAP157	6.98e+00	1.06	0.49	2.15e+00	3.16e-02	1.00e+00
MDM4	2.00e+02	0.27	0.12	2.15e+00	3.16e-02	1.00e+00
ZDHHC4	1.39e+02	0.26	0.12	2.15e+00	3.19e-02	1.00e+00
AP5Z1	2.83e+02	0.24	0.11	2.15e+00	3.19e-02	1.00e+00
OR14J1	6.86e+01	0.40	0.19	2.14e+00	3.20e-02	1.00e+00
HECA	5.64e+02	0.21	0.10	2.14e+00	3.20e-02	1.00e+00
DDT	7.32e+01	0.35	0.16	2.14e+00	3.22e-02	1.00e+00
FAM161A	1.02e+02	0.29	0.14	2.13e+00	3.31e-02	1.00e+00
CYP1B1	1.39e+03	0.29	0.14	2.13e+00	3.35e-02	1.00e+00
GLB1L2	4.18e+00	1.70	0.80	2.12e+00	3.40e-02	1.00e+00
GDPGP1	1.47e+01	0.61	0.29	2.12e+00	3.40e-02	1.00e+00
ALG9	1.37e+02	0.22	0.10	2.12e+00	3.41e-02	1.00e+00
OR51E2	1.83e+00	2.87	1.36	2.12e+00	3.43e-02	1.00e+00
FUT6	3.21e+00	1.52	0.72	2.11e+00	3.45e-02	1.00e+00
RAVER1	2.23e+02	0.20	0.10	2.11e+00	3.45e-02	1.00e+00
H4C2	1.20e+00	2.50	1.18	2.11e+00	3.46e-02	1.00e+00
CMA1	9.95e-01	3.21	1.52	2.11e+00	3.47e-02	1.00e+00
NUDT15	2.23e+02	0.19	0.09	2.11e+00	3.47e-02	1.00e+00
IL17RA	4.47e+02	0.17	0.08	2.11e+00	3.51e-02	1.00e+00
TXNDC2	2.64e+00	1.56	0.74	2.11e+00	3.52e-02	1.00e+00
PRDM5	5.00e+01	0.34	0.16	2.10e+00	3.56e-02	1.00e+00
SLC8A3	2.72e+01	0.48	0.23	2.10e+00	3.57e-02	1.00e+00
ARFGAP3	5.63e+02	0.15	0.07	2.10e+00	3.59e-02	1.00e+00
CARNMT1	5.25e+02	0.21	0.10	2.10e+00	3.61e-02	1.00e+00
RABL2A	2.22e+01	0.79	0.38	2.09e+00	3.66e-02	1.00e+00
TCAIM	1.54e+02	0.25	0.12	2.09e+00	3.66e-02	1.00e+00
WDR90	1.84e+01	0.63	0.30	2.09e+00	3.68e-02	1.00e+00
MYLK3	6.73e+00	1.20	0.58	2.09e+00	3.69e-02	1.00e+00
NOPCHAP1	3.45e+02	0.34	0.16	2.08e+00	3.71e-02	1.00e+00
POGLUT1	1.42e+02	0.23	0.11	2.08e+00	3.74e-02	1.00e+00
SLC19A2	1.11e+02	0.28	0.13	2.08e+00	3.77e-02	1.00e+00
BEST3	7.11e+00	0.88	0.42	2.07e+00	3.82e-02	1.00e+00
SMAD3	6.92e+02	0.16	0.08	2.07e+00	3.82e-02	1.00e+00
PCOTH	1.96e+00	2.22	1.07	2.07e+00	3.83e-02	1.00e+00
ZNF766	1.72e+02	0.22	0.11	2.07e+00	3.83e-02	1.00e+00
YIPF4	4.47e+02	0.20	0.10	2.07e+00	3.83e-02	1.00e+00
ZNF460	3.80e+01	0.48	0.23	2.07e+00	3.85e-02	1.00e+00
PARVG	3.01e+00	1.33	0.65	2.07e+00	3.89e-02	1.00e+00
PLIN5	1.14e+00	2.34	1.13	2.06e+00	3.91e-02	1.00e+00
ZNF585B	4.48e+01	0.46	0.22	2.06e+00	3.92e-02	1.00e+00
IFITM1	5.95e+00	1.30	0.63	2.05e+00	4.00e-02	1.00e+00
LYSMD1	3.75e+01	0.44	0.21	2.05e+00	4.00e-02	1.00e+00
ZNF101	1.89e+02	0.18	0.09	2.05e+00	4.00e-02	1.00e+00
ZNF827	1.65e+02	0.22	0.11	2.05e+00	4.07e-02	1.00e+00
NSG1	1.53e+00	1.89	0.93	2.05e+00	4.08e-02	1.00e+00
CIDEA	9.86e-01	2.84	1.39	2.04e+00	4.09e-02	1.00e+00
PANK2	3.99e+02	0.18	0.09	2.04e+00	4.10e-02	1.00e+00
TMEM184B	2.07e+02	0.21	0.10	2.04e+00	4.15e-02	1.00e+00
HLA-G	3.47e+00	1.35	0.66	2.04e+00	4.17e-02	1.00e+00
SLC14A1	2.87e+00	1.65	0.81	2.04e+00	4.18e-02	1.00e+00
MEIOC	3.53e+00	1.17	0.57	2.03e+00	4.19e-02	1.00e+00
SH2D3A	2.15e+00	1.95	0.96	2.03e+00	4.24e-02	1.00e+00
BST2	3.36e+02	0.23	0.11	2.03e+00	4.24e-02	1.00e+00
DLX2	9.38e+00	0.86	0.43	2.02e+00	4.34e-02	1.00e+00
KIAA0895L	5.47e+01	0.37	0.19	2.02e+00	4.35e-02	1.00e+00
ZNF8	8.73e+01	0.28	0.14	2.02e+00	4.37e-02	1.00e+00
GSTCD	1.75e+02	0.27	0.13	2.01e+00	4.47e-02	1.00e+00
C21orf62	3.21e+00	1.34	0.67	2.00e+00	4.51e-02	1.00e+00
WDR53	1.23e+02	0.27	0.14	2.00e+00	4.53e-02	1.00e+00
DBP	3.20e+00	1.28	0.64	2.00e+00	4.54e-02	1.00e+00
SMIM41	2.85e+00	1.53	0.77	2.00e+00	4.58e-02	1.00e+00
ATXN3	1.84e+02	0.25	0.12	2.00e+00	4.60e-02	1.00e+00
MFSD4B	3.51e+02	0.27	0.13	1.99e+00	4.61e-02	1.00e+00
NDN	2.80e+02	0.23	0.12	1.99e+00	4.62e-02	1.00e+00
C2orf92	3.23e+00	1.41	0.71	1.99e+00	4.63e-02	1.00e+00
RC3H1	2.14e+02	0.25	0.13	1.99e+00	4.63e-02	1.00e+00
SLC9A7	9.10e+01	0.28	0.14	1.99e+00	4.65e-02	1.00e+00
RUNDC1	1.21e+02	0.23	0.12	1.99e+00	4.65e-02	1.00e+00
WIZ	1.64e+02	0.22	0.11	1.99e+00	4.65e-02	1.00e+00
BLOC1S3	3.10e+01	0.46	0.23	1.99e+00	4.67e-02	1.00e+00
ABCA5	1.59e+02	0.21	0.10	1.99e+00	4.67e-02	1.00e+00
LBHD1	8.90e+01	0.32	0.16	1.99e+00	4.69e-02	1.00e+00
ZNF146	1.09e+03	0.23	0.12	1.99e+00	4.69e-02	1.00e+00
SLC13A4	1.57e+00	2.00	1.01	1.99e+00	4.71e-02	1.00e+00
COL5A3	9.51e+01	0.37	0.18	1.98e+00	4.73e-02	1.00e+00
EEF1AKMT4	1.21e+01	0.73	0.37	1.98e+00	4.74e-02	1.00e+00
IRF6	4.69e+02	0.20	0.10	1.98e+00	4.75e-02	1.00e+00
LENG1	1.15e+02	0.32	0.16	1.98e+00	4.76e-02	1.00e+00
KLHL33	5.33e+00	1.29	0.65	1.98e+00	4.77e-02	1.00e+00
DNAJC24	1.04e+02	0.24	0.12	1.98e+00	4.80e-02	1.00e+00
APRT	1.27e+02	0.30	0.15	1.97e+00	4.86e-02	1.00e+00
ELP6	2.04e+02	0.19	0.10	1.97e+00	4.87e-02	1.00e+00
CTRC	4.26e+00	1.12	0.57	1.97e+00	4.88e-02	1.00e+00
PTPRU	4.01e+01	0.35	0.18	1.97e+00	4.91e-02	1.00e+00
TCTN2	8.75e+01	0.34	0.17	1.97e+00	4.91e-02	1.00e+00
ZMYM1	1.03e+02	0.27	0.14	1.97e+00	4.91e-02	1.00e+00
OR7D4	3.48e+00	1.27	0.64	1.97e+00	4.92e-02	1.00e+00
TRAF1	1.37e+01	0.67	0.34	1.97e+00	4.93e-02	1.00e+00
DNAL1	1.13e+02	0.28	0.14	1.96e+00	4.95e-02	1.00e+00
OR7A17	2.42e+00	1.46	0.74	1.96e+00	4.97e-02	1.00e+00
OR4D9	4.49e+00	1.31	0.67	1.96e+00	4.97e-02	1.00e+00
DALRD3	3.13e+01	0.49	0.25	1.96e+00	4.97e-02	1.00e+00
ZNF134	1.86e+02	0.21	0.11	1.96e+00	4.98e-02	1.00e+00
STK36	1.24e+02	0.25	0.13	1.96e+00	5.00e-02	1.00e+00
