symbol	H9_MplusCHLA_1	H9_MplusCHLA_2	H9_MplusCHLA_3	CAR_MplusCHLA_1	CAR_MplusCHLA_2	CAR_MplusCHLA_3
ACOT1	3	0	0	13	5	1
ACOT11	30	31	39	48	35	40
ACOT12	0	0	0	0	0	0
ACOT13	5	15	12	2	12	18
ACOT2	9	23	10	9	22	29
ACOT4	0	0	2	6	1	4
ACOT6	0	0	0	0	0	0
ACOT7	15	22	29	34	21	12
ACOT8	6	8	8	25	14	15
ACOT9	46	55	65	66	79	68
ACOX1	2	11	12	13	16	15
ACOX2	0	1	0	0	1	1
ACOX3	8	17	12	31	9	14
ACOXL	0	0	0	0	0	0
ACOXL-AS1	0	0	0	0	0	0
ACP1	12	39	49	45	61	45
ACP2	20	28	26	65	40	39
ACP4	0	0	0	0	0	0
ACP5	121	114	133	254	143	170
ACP6	0	4	1	0	2	1
ACP7	4	0	0	0	0	0
ACPP	9	7	6	14	14	16
ACR	0	0	0	0	0	0
ACRBP	0	9	6	0	5	5
ACRV1	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0
ACSBG2	0	0	0	0	0	0
ACSF2	0	2	2	0	4	4
ACSF3	8	10	12	25	11	12
ACSL1	5	17	23	25	21	22
ACSL3	22	46	46	62	71	75
ACSL4	4	33	54	30	48	40
ACSL5	2	8	16	5	11	9
ACSL6	0	0	0	0	0	0
ACSM1	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	9	0	5
ACSM6	0	0	0	0	0	0
ACSS1	14	16	10	13	12	16
ACSS2	2	7	8	37	19	23
ACSS3	2	2	1	0	3	2
ACTA1	1	0	1	0	0	0
ACTA2	0	6	0	0	0	0
ACTA2-AS1	0	0	0	0	0	0
ACTB	6844	15190	15903	14518	12282	11289
ACTBL2	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0
ACTG1	2243	4268	4103	4212	4092	4019
ACTG1P17	2	0	0	0	0	1
ACTG1P20	0	0	0	0	2	1
ACTG1P4	0	0	0	0	0	0
ACTG2	0	8	0	0	0	0
ACTL10	0	0	1	0	0	1
ACTL6A	12	40	44	53	73	71
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0
ACTN1	23	90	85	95	68	74
ACTN1-AS1	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0
ACTN3	0	0	0	0	0	0
ACTN4	18	45	38	55	46	63
ACTR10	21	50	48	58	80	66
ACTR1A	53	65	74	64	74	76
ACTR1B	4	22	18	9	20	16
ACTR2	476	1572	1832	1290	2127	1899
ACTR3	46	215	270	179	274	262
ACTR3B	0	2	6	0	2	4
ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3C	4	1	0	0	0	1
ACTR5	3	2	3	1	4	5
ACTR6	5	16	13	16	22	21
ACTR8	6	18	15	15	28	26
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	0	3	2	5	2	2
ACVR1	0	5	4	7	9	4
ACVR1B	0	6	9	4	10	8
ACVR1C	0	0	0	0	0	0
ACVR2A	0	1	1	0	2	2
ACVR2B	0	1	1	0	1	1
ACVR2B-AS1	3	0	0	0	0	0
ACVRL1	4	8	6	10	12	11
ACY1	14	35	26	31	32	32
ACY3	0	0	0	0	0	0
ACYP1	29	6	7	0	20	31
ACYP2	3	5	5	0	0	2
ADA	7	14	13	14	16	10
ADA2	78	272	294	98	136	122
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	0	4	3	0	3	3
ADAM10	22	61	65	55	85	71
ADAM11	0	0	0	0	0	0
ADAM12	0	0	0	1	0	0
ADAM15	9	16	14	39	20	16
ADAM17	7	16	19	12	30	37
ADAM18	0	0	0	0	0	0
ADAM19	1	0	0	0	0	0
ADAM1A	2	0	0	0	1	2
ADAM2	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0
ADAM21	0	0	0	0	0	0
ADAM21P1	0	0	0	0	0	0
ADAM22	0	0	0	0	0	0
ADAM23	0	0	0	0	1	1
ADAM28	15	20	35	27	33	22
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0
ADAM3A	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	0	2	1	18	8	13
ADAM9	17	90	126	74	136	144
ADAMDEC1	3	13	9	15	33	16
ADAMTS1	0	0	0	0	0	0
ADAMTS10	2	0	0	0	0	0
ADAMTS12	0	0	2	0	0	0
ADAMTS13	0	0	0	0	0	0
ADAMTS14	0	0	0	0	0	0
ADAMTS15	0	0	0	2	1	0
ADAMTS16	0	0	0	0	0	0
ADAMTS17	1	4	3	0	0	0
ADAMTS18	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	0	0	0	0	0	0
ADAMTS20	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0
ADAMTS4	1	1	2	0	1	1
ADAMTS5	0	0	0	0	0	0
ADAMTS6	0	0	0	0	0	0
ADAMTS7	0	0	0	0	0	0
ADAMTS7P1	0	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0
ADAMTS9	0	0	0	0	0	0
ADAMTS9-AS1	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0
ADAMTSL2	1	1	0	2	0	0
ADAMTSL3	0	0	0	0	0	0
ADAMTSL4	4	9	5	4	8	14
ADAMTSL4-AS1	1	0	0	0	0	0
ADAMTSL5	0	0	0	0	0	0
ADAP1	22	48	30	88	40	50
ADAP2	33	92	94	89	87	78
ADAR	12	19	16	24	30	30
ADARB1	1	2	1	0	2	2
ADARB2	0	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	8	3	4	3	6	6
ADAT2	3	2	2	6	2	3
ADAT3	3	2	0	11	0	0
ADCK1	0	10	7	12	8	12
ADCK2	29	63	55	14	21	24
ADCK5	9	1	4	4	5	5
ADCY1	0	0	0	1	1	0
ADCY10	0	0	0	0	0	0
ADCY10P1	0	0	0	0	0	0
ADCY2	0	0	0	0	0	0
ADCY3	3	5	7	3	6	3
ADCY4	0	0	0	0	1	0
ADCY5	0	0	0	0	0	0
ADCY6	1	5	4	1	2	2
ADCY7	3	17	17	11	23	19
ADCY8	0	0	0	0	0	0
ADCY9	0	1	0	0	2	1
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0
ADD1	26	51	59	64	85	76
ADD2	0	0	0	0	0	0
ADD3	0	4	1	0	6	7
ADD3-AS1	0	0	0	0	0	0
ADGB	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0
ADGRA2	0	0	1	0	0	0
ADGRA3	0	0	1	1	0	0
ADGRB1	0	0	0	0	0	0
ADGRB2	0	0	0	0	0	0
ADGRB3	0	0	0	0	0	0
ADGRD1	0	0	0	0	0	0
ADGRD1-AS1	0	0	0	0	0	0
ADGRE1	0	1	2	5	1	2
ADGRE2	1	6	6	2	6	9
ADGRE3	0	0	0	0	0	0
ADGRE4P	0	1	0	3	5	4
ADGRE5	0	4	4	20	5	7
ADGRF1	0	0	0	0	0	0
ADGRF2	6	2	0	2	0	1
ADGRF3	0	0	0	0	0	0
ADGRF4	0	0	0	0	0	0
ADGRF5	0	0	0	6	0	0
ADGRG1	0	0	0	0	0	0
ADGRG2	0	0	0	0	0	0
ADGRG3	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0
ADGRG6	0	1	0	2	2	1
ADGRG7	0	0	0	0	0	0
ADGRL1	0	0	0	0	0	0
ADGRL2	0	0	0	0	0	0
ADGRL3	0	0	0	0	0	0
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	0	0	1	0	0	0
ADGRV1	0	0	0	0	0	0
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	0	0	0	0	0	0
ADH5	20	47	49	44	48	49
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	0	1	0	0	0	0
ADI1	40	121	114	156	178	156
ADIG	0	0	0	0	0	0
ADIPOQ	1	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
ADIPOR1	36	91	117	38	133	107
ADIPOR2	3	25	30	27	44	39
ADIRF	0	0	0	0	0	0
ADK	6	15	15	14	23	21
ADM	0	11	5	8	15	11
ADM2	0	0	0	0	0	0
ADM5	0	0	0	0	0	0
ADNP	4	9	10	8	13	14
ADNP-AS1	0	2	2	0	3	0
ADNP2	0	3	5	5	4	1
ADO	3	13	7	5	11	7
ADORA1	0	3	2	10	3	3
ADORA2A	0	0	0	0	1	0
ADORA2A-AS1	0	0	0	1	0	0
ADORA2B	4	2	5	0	6	7
ADORA3	168	182	206	161	180	137
ADPGK	32	70	90	59	106	97
ADPGK-AS1	0	0	0	0	0	0
ADPRH	3	7	11	5	11	8
ADPRHL1	0	0	0	0	0	0
ADPRHL2	66	73	60	74	94	95
ADPRM	0	0	1	0	1	3
ADRA1A	0	0	0	0	1	1
ADRA1B	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0
ADRA2C	0	0	0	0	0	0
ADRB1	0	1	2	0	0	0
ADRB2	0	4	6	15	6	6
ADRB3	0	0	0	0	0	0
ADRM1	133	144	97	240	116	115
ADSL	30	79	89	65	65	57
ADSS	5	36	39	32	42	39
ADSSL1	0	1	0	0	1	0
ADTRP	67	217	250	104	146	143
AEBP1	0	0	2	0	1	0
AEBP2	0	4	4	0	6	7
AEN	6	7	10	2	7	12
AES	22	58	46	92	45	64
AFAP1	0	1	0	0	1	1
AFAP1-AS1	0	0	0	0	0	0
AFAP1L1	1	0	1	0	3	0
AFAP1L2	0	0	1	0	0	0
AFDN	1	6	6	5	5	7
AFDN-DT	0	0	0	0	1	0
AFF1	5	15	13	19	32	26
AFF1-AS1	9	2	5	7	4	1
AFF2	0	0	0	0	0	0
AFF3	0	0	0	2	1	1
AFF4	5	7	8	4	10	10
AFG1L	1	3	4	3	4	6
AFG3L1P	3	3	1	3	6	7
AFG3L2	55	87	100	118	100	121
AFM	0	0	0	0	0	0
AFMID	23	8	12	2	10	9
AFP	0	0	0	0	0	0
AFTPH	12	17	17	24	25	19
AGA	0	13	12	5	10	11
AGAP1	1	1	0	2	0	1
AGAP1-IT1	0	0	0	0	0	0
AGAP11	0	0	0	0	0	0
AGAP12P	0	0	0	0	0	1
AGAP2	1	1	2	1	1	2
AGAP2-AS1	9	13	5	7	4	4
AGAP3	102	82	66	109	117	118
AGAP4	0	0	0	0	1	0
AGAP5	0	0	0	0	0	0
AGAP6	3	0	1	0	0	1
AGAP7P	0	0	0	0	0	0
AGAP9	0	0	0	0	1	0
AGBL1	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0
AGBL3	0	0	1	0	0	1
AGBL4	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	0	1	4	3	3	3
AGBL5-AS1	0	0	0	0	0	0
AGER	0	0	2	0	3	1
AGFG1	2	8	7	7	9	8
AGFG2	0	1	2	2	1	2
AGGF1	8	17	15	8	20	22
AGK	2	7	9	3	6	8
AGL	2	5	2	0	4	2
AGMAT	5	2	0	0	2	1
AGMO	0	1	1	0	0	0
AGO1	16	22	22	29	22	20
AGO2	1	4	5	1	4	4
AGO3	0	2	2	1	2	2
AGO4	2	8	9	8	16	20
AGPAT1	40	64	48	42	42	39
AGPAT2	52	33	52	70	31	44
AGPAT3	13	24	20	26	24	27
AGPAT4	5	6	5	12	10	12
AGPAT4-IT1	0	1	0	0	1	2
AGPAT5	7	20	20	10	15	11
AGPS	7	11	16	16	17	13
AGR2	0	4	4	13	22	12
AGR3	0	0	0	0	0	0
AGRN	1	2	2	9	3	5
AGRP	0	0	0	0	0	0
AGT	0	3	3	7	5	4
AGTPBP1	5	11	10	7	16	12
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	8	15	21	47	27	18
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	2	4	4	3	6	5
AHCTF1P1	0	0	0	0	0	0
AHCY	276	328	309	303	304	318
AHCYL1	8	47	45	32	47	43
AHCYL2	4	3	4	1	4	3
AHDC1	0	1	1	0	0	1
AHI1	1	1	2	1	3	1
AHNAK	16	12	9	14	13	19
AHNAK2	0	0	0	0	0	0
AHR	2	1	1	5	9	6
AHRR	2	9	9	13	25	17
AHSA1	172	277	205	129	273	234
AHSA2P	0	2	3	7	8	3
AHSG	0	0	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	4	0	0	5	0	0
AIDA	21	52	51	104	70	54
AIF1	782	933	939	1049	1127	1117
AIF1L	0	0	0	0	0	0
AIFM1	46	78	60	72	112	106
AIFM2	8	10	14	19	21	18
AIFM3	3	1	2	0	1	2
AIG1	18	14	20	9	12	15
AIM2	0	0	0	0	0	0
AIMP1	6	25	20	13	21	21
AIMP2	26	37	34	25	43	36
AIP	21	44	44	97	37	45
AIPL1	0	0	1	0	0	0
AIRE	0	0	0	0	0	0
AIRN	0	0	0	0	0	0
AJAP1	0	0	1	0	0	0
AJM1	0	0	0	0	0	0
AJUBA	0	0	0	0	0	0
AK1	70	26	32	20	22	30
AK2	59	121	101	202	134	150
AK3	12	11	11	9	14	10
AK4	0	0	0	0	0	1
AK5	0	1	1	3	0	0
AK6	12	51	40	73	65	73
AK7	0	0	0	0	0	0
AK8	0	0	0	0	0	0
AK9	2	0	0	0	2	0
AKAIN1	0	0	0	0	0	0
AKAP1	3	14	17	12	19	24
AKAP10	4	6	8	4	13	16
AKAP11	3	11	12	6	12	11
AKAP12	1	1	1	3	4	3
AKAP13	11	19	22	23	25	27
AKAP14	0	0	0	0	0	0
AKAP17A	13	22	18	37	55	46
AKAP2	0	0	0	0	1	2
AKAP3	0	0	1	0	0	0
AKAP4	0	0	0	0	0	0
AKAP5	5	0	0	0	0	0
AKAP6	3	2	3	2	6	7
AKAP7	0	1	2	0	2	0
AKAP8	22	14	19	14	26	31
AKAP8L	19	12	8	10	17	21
AKAP9	3	3	3	2	6	6
AKIP1	42	62	38	90	47	69
AKIRIN1	21	92	106	76	128	122
AKIRIN2	7	14	23	36	23	25
AKNA	4	13	9	19	18	14
AKNAD1	0	0	0	0	0	0
AKR1A1	236	336	292	403	333	310
AKR1B1	51	171	168	189	158	161
AKR1B10	2	0	0	0	0	0
AKR1B15	0	0	0	0	0	0
AKR1C1	0	0	0	0	0	0
AKR1C2	0	0	0	0	0	0
AKR1C3	0	0	0	0	0	0
AKR1C4	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	0	0	0	0	0	1
AKR1E2	0	0	2	8	0	0
AKR7A2	14	17	26	17	13	18
AKR7A2P1	0	0	0	0	0	0
AKR7A3	0	0	0	0	0	0
AKR7L	0	0	0	0	0	0
AKT1	89	234	228	164	200	203
AKT1S1	23	19	16	22	35	23
AKT2	10	15	16	24	17	20
AKT3	2	2	3	1	2	3
AKTIP	7	7	4	0	7	6
ALAD	5	13	4	23	21	17
ALAS1	15	47	57	75	71	71
ALAS2	0	0	0	0	0	0
ALB	0	0	0	0	0	0
ALCAM	1	11	13	19	28	28
ALDH16A1	67	81	73	84	61	62
ALDH18A1	8	14	18	7	19	12
ALDH1A1	4	9	12	48	56	56
ALDH1A2	2	0	0	0	0	1
ALDH1A3	2	0	0	0	0	0
ALDH1B1	12	13	20	8	8	12
ALDH1L1	0	0	0	0	0	0
ALDH1L1-AS1	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0	0
ALDH1L2	0	0	0	0	0	0
ALDH2	12	30	34	49	36	34
ALDH3A1	0	0	0	0	0	0
ALDH3A2	5	16	15	18	20	23
ALDH3B1	15	29	30	42	21	28
ALDH3B2	0	0	0	0	0	0
ALDH4A1	3	6	7	10	9	6
ALDH5A1	3	2	1	1	3	2
ALDH6A1	13	5	3	9	6	6
ALDH7A1	11	19	19	19	24	22
ALDH8A1	0	0	0	0	0	1
ALDH9A1	17	45	51	44	53	62
ALDOA	602	906	854	1320	728	820
ALDOB	0	0	0	0	0	0
ALDOC	4	4	10	6	4	5
ALG1	10	21	18	10	14	13
ALG10	2	6	6	12	5	7
ALG10B	1	2	2	3	3	1
ALG11	0	3	8	8	12	15
ALG12	1	12	14	25	19	18
ALG13	12	69	69	12	42	44
ALG14	0	14	17	12	16	6
ALG1L	0	0	0	14	0	0
ALG1L2	0	0	0	0	0	0
ALG1L9P	0	0	0	8	0	0
ALG2	9	13	15	23	19	11
ALG3	55	43	40	43	22	13
ALG5	18	56	79	26	85	65
ALG6	2	4	4	7	4	5
ALG8	21	86	85	63	51	61
ALG9	1	3	6	2	4	5
ALK	0	0	3	0	0	1
ALKAL1	0	0	0	0	0	0
ALKAL2	0	0	0	0	0	0
ALKBH1	0	3	3	8	4	1
ALKBH2	12	12	4	0	4	7
ALKBH3	14	15	9	6	15	6
ALKBH3-AS1	0	0	0	0	0	0
ALKBH4	4	4	2	0	5	11
ALKBH5	26	52	55	61	52	53
ALKBH6	30	22	29	0	23	30
ALKBH7	13	26	14	4	12	9
ALKBH8	2	4	7	2	7	4
ALLC	0	0	0	0	0	0
ALMS1	2	1	1	0	1	1
ALMS1-IT1	2	1	0	0	1	1
ALMS1P1	0	0	0	0	0	0
ALOX12	0	0	0	0	0	0
ALOX12-AS1	0	3	0	0	0	3
ALOX12B	0	0	0	0	0	0
ALOX12P2	0	0	0	0	0	0
ALOX15	0	0	0	0	0	1
ALOX15B	0	1	0	0	0	0
ALOX15P1	0	0	0	0	0	0
ALOX5	22	45	32	36	33	33
ALOX5AP	90	135	200	244	168	173
ALOXE3	0	0	0	0	0	0
ALPG	0	0	0	0	0	0
ALPI	0	0	0	0	0	0
ALPK1	5	7	10	22	15	15
ALPK2	0	0	0	0	0	0
ALPK3	0	3	3	3	2	2
ALPL	0	0	0	0	0	0
ALPP	0	0	0	0	0	0
ALS2	3	7	13	10	18	15
ALS2CL	0	0	0	0	0	0
ALS2CR12	0	0	0	0	0	0
ALX1	0	5	13	8	13	13
ALX3	0	0	0	0	0	0
ALX4	0	0	0	0	0	0
ALYREF	86	137	147	217	168	124
AMACR	1	6	6	5	7	9
AMBN	0	0	0	0	0	0
AMBP	0	0	0	0	0	0
AMBRA1	6	7	7	3	11	6
AMD1	57	146	141	212	132	109
AMDHD1	4	3	2	0	1	3
AMDHD2	31	39	46	48	41	49
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	0	0	0	0	0	0
AMER2	0	0	0	0	0	0
AMER3	0	0	0	0	0	0
AMFR	7	22	28	19	23	27
AMH	0	0	0	0	0	0
AMHR2	0	0	0	0	0	0
AMIGO1	0	0	0	0	0	0
AMIGO2	0	0	0	0	0	1
AMIGO3	0	0	1	0	1	0
AMMECR1	2	4	3	0	2	3
AMMECR1L	5	11	8	8	10	12
AMN	0	0	0	0	0	0
AMN1	0	5	6	9	8	11
AMOT	0	0	0	0	0	0
AMOTL1	0	0	0	0	0	0
AMOTL2	0	0	0	0	0	0
AMPD1	0	0	0	0	0	0
AMPD2	0	4	6	14	5	3
AMPD3	11	29	30	45	59	51
AMPH	0	0	0	0	0	0
AMT	3	3	4	7	10	8
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	0	1	0	0	0
AMY2B	0	3	0	0	7	8
AMZ1	0	0	0	0	0	0
AMZ2	25	30	38	19	40	44
AMZ2P1	3	2	1	0	2	4
ANAPC1	3	4	7	5	3	6
ANAPC10	0	5	3	0	4	6
ANAPC11	278	378	363	555	337	378
ANAPC13	25	52	80	50	61	62
ANAPC15	144	274	209	216	335	350
ANAPC16	22	41	29	46	44	47
ANAPC1P1	0	0	0	0	0	0
ANAPC2	1	2	6	5	9	4
ANAPC4	12	23	19	9	25	22
ANAPC5	8	20	18	9	16	14
ANAPC7	10	21	21	25	21	24
ANG	10	0	0	9	0	0
ANGEL1	3	8	4	2	5	6
ANGEL2	6	6	8	2	13	9
ANGPT1	0	0	0	0	0	0
ANGPT2	3	0	0	0	0	0
ANGPT4	0	0	0	0	0	0
ANGPTL1	0	0	0	0	0	0
ANGPTL2	0	0	0	0	0	0
ANGPTL3	0	0	0	0	0	0
ANGPTL4	0	0	0	0	0	0
ANGPTL5	0	0	0	0	0	0
ANGPTL6	0	2	1	8	1	6
ANGPTL7	0	0	0	0	0	0
ANGPTL8	0	0	0	0	0	0
