symbol	H9_MplusCHLA_1	H9_MplusCHLA_2	H9_MplusCHLA_3	CAR_MplusCHLA_1	CAR_MplusCHLA_2	CAR_MplusCHLA_3
ABCA6	0	0	0	0	104	0
ABCA7	159	657	636	351	1524	1411
ABCA8	0	176	0	0	0	0
ABCA9	0	25	34	49	0	24
ABCA9-AS1	0	0	0	0	0	0
ABCB1	0	71	163	0	112	81
ABCB10	0	919	1118	0	699	1151
ABCB11	447	89	90	0	7	237
ABCB4	496	1761	1594	186	1043	671
ABCB5	10	1	0	103	22	0
ABCB6	406	752	623	1177	700	896
ABCB7	1143	2966	3135	408	3094	2254
ABCB8	341	1217	744	935	1474	902
ABCB9	13	64	51	0	46	214
ABCC1	113	3452	2880	3670	7784	7064
ABCC10	792	2458	2132	754	2426	2153
ABCC11	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0
ABCC13	1	0	0	0	0	0
ABCC2	0	3	0	0	27	44
ABCC3	14	394	126	319	738	699
ABCC4	201	4027	5376	1658	6540	5430
ABCC5	1804	5921	6726	3446	8445	8575
ABCC5-AS1	0	0	0	0	0	0
ABCC6	0	1	0	0	56	76
ABCC6P1	0	0	0	0	1	0
ABCC6P2	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0
ABCC9	4	146	0	0	239	0
ABCD1	944	1728	1432	1982	2134	2309
ABCD2	0	0	0	0	0	0
ABCD3	200	2248	1727	855	1944	1923
ABCD4	1432	4097	3538	697	3561	3070
ABCE1	2700	10158	11667	3975	11042	9768
ABCF1	3049	6800	7027	2714	8297	12082
ABCF2	729	2347	3144	832	3127	3283
ABCF3	1550	3243	3060	1287	3567	3496
ABCG1	4	353	400	334	1165	873
ABCG2	121	1907	3478	529	1080	1230
ABCG4	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	111	0	0	0	0	53
ABHD10	305	960	1719	578	2237	1934
ABHD11	437	566	695	5	540	645
ABHD11-AS1	0	0	0	0	0	0
ABHD12	4989	15498	17533	9140	17809	16743
ABHD12B	0	0	71	0	0	2
ABHD13	123	748	1576	251	1676	1414
ABHD14A	194	241	168	561	213	240
ABHD14A-ACY1	0	181	0	0	0	0
ABHD14B	173	1170	990	703	642	1008
ABHD15	1744	2004	1296	273	1076	1006
ABHD16A	2322	6601	8707	3224	5811	6264
ABHD16B	0	214	326	165	48	88
ABHD17A	1969	3261	3084	1476	1728	2027
ABHD17B	1	508	771	518	975	825
ABHD17C	5	201	310	149	182	478
ABHD18	778	455	883	312	1052	521
ABHD2	1222	3817	3968	1594	4022	3826
ABHD3	112	1501	1134	130	1525	1718
ABHD4	412	469	514	305	613	797
ABHD5	370	588	1090	298	1006	1304
ABHD6	235	922	1321	162	771	1149
ABHD8	172	487	364	85	162	240
ABI1	805	5007	7303	4199	8625	7085
ABI2	961	3194	2963	1073	2765	3754
ABI3	3258	7173	6422	5194	8256	9250
ABI3BP	0	0	0	0	0	1
ABL1	363	3162	4250	2214	5454	5570
ABL2	2241	1503	1663	1046	2423	2317
ABLIM1	177	0	0	229	79	475
ABLIM2	13	0	0	17	0	68
ABLIM3	771	613	800	0	754	905
ABO	0	0	1	1	0	1
ABR	4393	14479	15213	7478	17796	18258
ABRA	0	0	0	0	0	0
ABRACL	4725	29149	31857	8221	35891	30772
ABRAXAS1	0	206	511	133	332	259
ABRAXAS2	395	1364	1522	898	1980	2058
ABT1	406	1700	2293	1035	2856	1517
ABTB1	245	330	473	357	701	909
ABTB2	0	0	0	0	0	0
ACAA1	2090	5143	4681	3118	5901	7408
ACAA2	2130	6238	7062	4094	8998	8032
ACACA	848	595	1187	286	1908	2040
ACACB	0	51	111	196	266	231
ACAD10	436	512	140	400	406	492
ACAD11	0	272	328	110	330	390
ACAD8	124	397	361	238	640	684
ACAD9	926	3040	2746	1143	2840	3110
ACADL	0	0	1	0	0	1
ACADM	373	4501	5817	1203	10372	6762
ACADS	224	71	521	4	615	790
ACADSB	18	1220	1100	38	945	996
ACADVL	4669	9670	9832	7590	11189	13342
ACAN	0	0	0	0	0	0
ACAP1	1	66	12	317	209	960
ACAP2	170	1966	1982	1024	4210	4080
ACAP3	99	703	1084	463	956	893
ACAT1	1379	3987	4662	2171	5624	6876
ACAT2	1065	4011	4183	2027	6619	6408
ACBD3	1657	2051	2913	524	2418	3682
ACBD3-AS1	0	0	0	0	0	0
ACBD4	315	162	61	3	143	66
ACBD5	258	2756	3007	1043	6291	5880
ACBD6	471	2053	1674	1510	2935	3053
ACBD7	264	12	9	1	103	72
ACBD7-DCLRE1CP1	0	0	0	0	0	0
ACCS	0	48	166	160	169	101
ACCSL	0	0	0	0	0	0
ACD	149	350	286	202	394	1029
ACE	290	575	941	584	592	1402
ACE2	0	4	4	4	2	3
ACER1	0	0	0	0	0	0
ACER2	1	90	2	0	98	80
ACER3	6289	11452	11366	3858	10382	9071
ACHE	0	0	0	0	0	0
ACIN1	2447	3552	5099	2842	8197	9316
ACKR1	0	0	0	0	0	0
ACKR2	58	8	10	0	47	21
ACKR3	0	1	0	0	0	0
ACKR4	0	0	0	0	0	0
ACLY	2080	6399	8376	4576	9744	10408
ACMSD	0	0	0	0	0	0
ACO1	385	4721	5023	1697	3980	4314
ACO2	4140	10002	9400	5603	7264	10395
ACOD1	0	0	0	0	0	0
ACOT1	120	0	0	355	331	56
ACOT11	2343	4013	5058	2642	4353	5190
ACOT12	0	0	0	0	0	0
ACOT13	530	2620	2025	142	1885	3134
ACOT2	289	1339	702	193	1219	1697
ACOT4	0	0	159	161	42	277
ACOT6	0	0	0	0	0	0
ACOT7	505	1366	1750	817	1114	700
ACOT8	174	371	387	493	623	679
ACOT9	2567	4248	4986	2142	5607	5020
ACOX1	396	3583	3732	1748	4649	4575
ACOX2	0	55	1	0	63	63
ACOX3	562	1950	1387	1516	977	1637
ACOXL	0	0	0	0	0	0
ACOXL-AS1	0	0	0	0	0	0
ACP1	459	2426	3065	1191	3636	2757
ACP2	970	2284	2157	2312	3300	3290
ACP4	0	0	0	0	0	0
ACP5	4252	6982	8047	6449	8691	10872
ACP6	0	267	50	8	216	107
ACP7	228	0	0	0	14	0
ACPP	461	649	579	450	1243	1337
ACR	0	0	0	0	0	0
ACRBP	1	704	494	0	385	367
ACRV1	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0
ACSBG2	0	0	0	0	0	0
ACSF2	2	177	136	1	311	300
ACSF3	724	1538	1831	1559	1533	1820
ACSL1	453	2693	3554	1643	3044	3427
ACSL3	3001	10499	10689	6003	15378	17209
ACSL4	473	6827	11258	2680	9431	8226
ACSL5	145	1133	2144	309	1402	1239
ACSL6	4	0	0	0	0	0
ACSM1	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	164	0	199
ACSM6	0	0	0	0	0	0
ACSS1	1250	2292	1497	739	1720	2320
ACSS2	173	881	991	1920	2095	2666
ACSS3	189	293	181	0	490	260
ACTA1	44	8	33	0	0	0
ACTA2	1	339	1	0	0	2
ACTA2-AS1	0	0	0	0	0	0
ACTB	318040	1176857	1238357	481816	907370	871774
ACTBL2	0	0	0	0	0	0
ACTC1	0	9	0	0	0	0
ACTG1	104071	330004	319007	139514	301640	309845
ACTG1P17	87	1	0	0	1	38
ACTG1P20	3	31	29	4	212	77
ACTG1P4	0	0	0	0	1	0
ACTG2	1	404	0	0	1	2
ACTL10	0	16	61	0	0	45
ACTL6A	504	2963	3324	1612	5243	5343
ACTL6B	0	0	0	0	0	24
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0
ACTN1	2115	13821	12974	6199	9965	11213
ACTN1-AS1	0	0	0	0	0	0
ACTN2	0	0	0	0	44	2
ACTN3	0	0	0	0	0	0
ACTN4	1803	7368	6227	3821	7062	10242
ACTR10	1221	4912	4766	2455	7552	6526
ACTR1A	3705	7599	8721	3198	8223	8919
ACTR1B	212	1974	1661	360	1761	1488
ACTR2	45985	252975	296298	88911	326471	304650
ACTR3	6375	50676	63812	18014	61509	61320
ACTR3B	0	179	512	0	136	278
ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3C	712	164	29	6	15	178
ACTR5	200	204	282	49	341	515
ACTR6	236	1217	971	481	1537	1527
ACTR8	508	2658	2259	937	4022	3785
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	0	258	197	159	192	196
ACVR1	0	614	524	341	979	507
ACVR1B	0	1207	1594	308	1706	1536
ACVR1C	0	0	0	0	0	0
ACVR2A	0	139	222	0	354	342
ACVR2B	0	332	651	12	302	614
ACVR2B-AS1	162	1	9	0	0	0
ACVRL1	411	1326	1001	760	1883	1861
ACY1	489	2185	1642	777	1970	2117
ACY3	0	0	0	0	0	0
ACYP1	406	144	146	0	434	716
ACYP2	130	256	220	0	7	98
ADA	257	826	754	361	954	585
ADA2	7074	43039	47434	6795	20480	19873
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	6	470	302	0	609	265
ADAM10	2669	12413	13646	4869	16525	14480
ADAM11	0	0	0	0	0	0
ADAM12	0	114	79	106	0	0
ADAM15	627	1902	1550	1496	1970	1806
ADAM17	726	2885	3383	932	5141	6720
ADAM18	0	0	0	0	0	0
ADAM19	136	119	43	0	69	1
ADAM1A	106	48	0	0	105	183
ADAM2	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0
ADAM20P1	0	0	0	0	16	0
ADAM21	0	0	0	0	0	0
ADAM21P1	0	0	0	0	0	0
ADAM22	0	0	0	0	94	57
ADAM23	0	62	0	0	320	234
ADAM28	1077	5033	5310	1653	5706	4370
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0
ADAM3A	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	0	260	159	982	1001	1684
ADAM9	1611	15094	21158	5056	21613	24062
ADAMDEC1	154	1209	850	572	3013	1565
ADAMTS1	0	2	0	0	0	23
ADAMTS10	172	0	0	0	0	0
ADAMTS12	0	1	195	0	88	0
ADAMTS13	0	0	0	0	0	11
ADAMTS14	0	74	0	0	73	0
ADAMTS15	0	0	15	180	200	0
ADAMTS16	0	0	0	0	0	0
ADAMTS17	157	1038	680	0	110	85
ADAMTS18	0	0	0	0	0	0
ADAMTS19	0	0	0	0	102	0
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	4	0	3	7	0	1
ADAMTS20	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0
ADAMTS4	59	214	268	8	157	94
ADAMTS5	3	0	3	2	2	2
ADAMTS6	0	0	0	0	0	73
ADAMTS7	0	0	0	0	0	0
ADAMTS7P1	0	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0
ADAMTS9	1	0	18	0	55	64
ADAMTS9-AS1	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0
ADAMTSL2	72	101	0	122	0	72
ADAMTSL3	0	0	0	0	0	0
ADAMTSL4	423	1600	783	292	1341	2363
ADAMTSL4-AS1	20	3	4	0	0	0
ADAMTSL5	4	1	0	0	2	0
ADAP1	1136	4182	2739	3457	3369	4333
ADAP2	2160	10260	10336	4263	9281	8640
ADAR	2029	5169	4442	2778	7827	8211
ADARB1	158	219	241	1	489	617
ADARB2	0	1	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	888	648	756	229	1258	1374
ADAT2	498	632	476	624	589	724
ADAT3	103	122	0	289	0	0
ADCK1	0	895	597	406	622	1119
ADCK2	1683	6040	5270	578	1933	2294
ADCK5	419	65	339	137	379	391
ADCY1	28	0	73	118	133	59
ADCY10	0	0	0	0	0	0
ADCY10P1	4	0	0	0	39	0
ADCY2	0	0	0	0	0	3
ADCY3	385	948	1287	267	1115	498
ADCY4	0	0	64	0	108	3
ADCY5	0	0	0	0	1	0
ADCY6	225	1204	991	154	570	456
ADCY7	398	4038	4454	1248	5609	4549
ADCY8	0	0	0	0	0	0
ADCY9	96	395	143	1	647	319
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	0	81	98	0	2	2
ADD1	2566	8285	9742	4422	13140	12312
ADD2	0	0	0	0	0	58
ADD3	2	800	169	2	1025	1222
ADD3-AS1	0	0	0	0	0	0
ADGB	0	0	0	0	4	0
ADGRA1	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0
ADGRA2	2	73	148	0	86	0
ADGRA3	0	91	139	53	67	1
ADGRB1	0	0	0	0	0	0
ADGRB2	0	1	0	0	0	0
ADGRB3	0	0	0	0	0	0
ADGRD1	0	0	78	1	0	41
ADGRD1-AS1	0	0	0	0	0	0
ADGRE1	0	149	200	260	121	184
ADGRE2	195	1371	1640	190	1334	2332
ADGRE3	0	0	0	0	0	0
ADGRE4P	0	92	0	145	490	492
ADGRE5	1	567	470	1137	594	883
ADGRF1	0	0	0	0	0	0
ADGRF2	737	332	4	155	1	107
ADGRF3	0	0	0	0	0	0
ADGRF4	0	0	0	0	0	0
ADGRF5	0	0	0	624	0	0
ADGRG1	0	0	0	0	0	0
ADGRG2	0	0	1	0	0	55
ADGRG3	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0
ADGRG6	5	197	117	293	489	237
ADGRG7	0	0	1	0	0	0
ADGRL1	6	82	0	3	29	3
ADGRL2	61	0	3	1	3	125
ADGRL3	0	0	0	0	31	0
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	0	0	83	0	0	0
ADGRV1	1	0	78	1	97	44
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	0	1	0	0	0	0
ADH5	1295	5025	5359	2016	4915	5318
ADH6	0	0	0	0	0	0
ADH7	0	1	0	0	0	0
ADHFE1	1	55	0	0	0	0
ADI1	1646	8202	7687	4500	11534	10475
ADIG	0	0	0	0	0	0
ADIPOQ	96	1	5	0	18	4
ADIPOQ-AS1	0	0	0	0	0	2
ADIPOR1	1802	7655	9807	1359	10673	8945
ADIPOR2	283	4085	4973	1881	6767	6378
ADIRF	0	0	0	0	0	0
ADK	291	1250	1304	524	1938	1941
ADM	0	681	343	226	905	692
ADM2	16	13	0	0	0	3
ADM5	0	0	0	0	0	0
ADNP	634	2273	2632	864	3134	3480
ADNP-AS1	1	76	75	0	114	1
ADNP2	0	735	1030	469	894	310
ADO	297	1961	1070	328	1656	1121
ADORA1	0	290	224	485	282	385
ADORA2A	0	0	0	0	62	0
ADORA2A-AS1	0	24	1	50	25	0
ADORA2B	179	125	360	2	442	506
ADORA3	7409	14565	17096	5496	13512	11183
ADPGK	1753	7177	9223	2640	10133	9546
ADPGK-AS1	0	0	0	0	0	0
ADPRH	230	976	1666	278	1512	1133
ADPRHL1	0	0	0	0	0	26
ADPRHL2	2666	4953	4116	2152	6057	6409
ADPRM	0	2	52	1	57	177
ADRA1A	15	0	19	0	79	59
ADRA1B	0	0	0	0	0	0
ADRA1D	0	0	0	0	9	0
ADRA2A	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0
ADRA2C	0	0	0	0	0	0
ADRB1	3	94	224	0	1	4
ADRB2	0	371	496	534	488	457
ADRB3	0	3	0	0	3	0
ADRM1	4709	8445	5759	6062	6450	6748
ADSL	1232	5490	6224	1935	4315	4001
ADSS	345	4084	4488	1553	4570	4382
ADSSL1	0	56	0	0	70	0
ADTRP	2919	15787	18199	3217	10101	10340
AEBP1	1	1	260	2	83	3
AEBP2	2	766	993	14	1347	1451
AEN	484	886	1286	132	827	1481
AES	887	3901	3112	2765	2918	4291
AFAP1	1	331	79	0	296	366
AFAP1-AS1	5	0	132	2	0	0
AFAP1L1	85	1	130	0	276	119
AFAP1L2	0	1	93	0	0	0
AFDN	209	1980	1790	738	1504	2222
AFDN-DT	0	8	0	0	58	0
AFF1	1048	5328	4494	2763	10720	9081
AFF1-AS1	410	160	381	247	271	73
AFF2	1	0	1	0	27	1
AFF3	45	5	6	336	186	217
AFF4	1154	2603	3390	598	3804	3882
AFG1L	127	600	929	206	729	1243
AFG3L1P	194	364	159	178	735	895
AFG3L2	4359	11464	13200	6656	12488	15851
AFM	0	0	0	0	0	0
AFMID	973	575	856	55	642	638
AFP	0	0	2	2	2	6
AFTPH	1261	2832	2832	1738	3996	3135
AGA	20	1039	970	191	783	968
AGAP1	165	204	175	328	151	334
AGAP1-IT1	0	0	0	0	0	0
AGAP11	0	0	0	0	0	0
AGAP12P	0	2	0	0	0	59
AGAP2	165	171	402	81	189	421
AGAP2-AS1	327	779	329	184	208	219
AGAP3	6793	9649	8062	6075	13733	14774
AGAP4	0	0	0	0	89	0
AGAP5	0	0	0	0	0	45
AGAP6	201	33	122	0	0	139
AGAP7P	0	0	0	0	0	0
AGAP9	0	0	0	0	47	0
AGBL1	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0
AGBL3	0	0	74	0	27	63
AGBL4	2	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	0	134	463	197	270	352
AGBL5-AS1	0	0	0	0	0	0
AGER	0	26	86	0	142	72
AGFG1	438	2903	2458	1062	3136	2845
AGFG2	0	180	348	188	256	448
AGGF1	912	3086	2707	605	3615	4011
AGK	120	838	1068	131	722	1000
AGL	316	1388	730	1	1225	733
AGMAT	417	290	2	2	200	176
AGMO	3	74	60	0	1	2
AGO1	2948	6632	6729	3764	6486	5925
AGO2	337	2136	2818	248	2454	2123
AGO3	0	349	335	53	276	311
AGO4	414	2383	2616	1051	3856	5607
AGPAT1	1970	5471	4186	1480	3377	3289
AGPAT2	1939	2027	3215	1864	1815	2712
AGPAT3	1996	6484	5388	2904	6231	7059
AGPAT4	999	1936	1756	1620	3107	3866
AGPAT4-IT1	0	57	0	0	83	141
AGPAT5	916	4544	4635	941	3277	2594
AGPS	1248	3515	5116	2195	5078	4194
AGR2	7	150	162	219	820	447
AGR3	0	0	0	1	0	2
AGRN	155	583	720	1208	940	1611
AGRP	0	0	0	0	0	0
AGT	1	275	288	335	471	416
AGTPBP1	556	1996	1803	510	2685	2126
AGTR1	0	0	2	0	2	0
AGTR2	0	0	0	1	0	0
AGTRAP	202	700	968	894	1204	814
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	338	1572	1594	409	2156	1951
AHCTF1P1	0	0	157	7	0	1
AHCY	15499	30744	28965	12152	27153	29660
AHCYL1	747	7123	6882	2088	6729	6512
AHCYL2	514	606	909	98	854	688
AHDC1	0	295	249	0	93	352
AHI1	98	235	353	96	430	337
AHNAK	4288	8209	7238	4744	8789	11419
AHNAK2	0	1	0	0	52	70
AHR	382	296	354	591	2194	1496
AHRR	224	1967	2063	1329	5475	4014
AHSA1	5735	15412	11387	3067	14485	12961
AHSA2P	37	299	342	355	1159	360
AHSG	1	0	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	251	17	1	226	9	37
AIDA	1547	6374	6310	5444	8194	6626
AIF1	11552	22798	22982	10597	26612	27784
AIF1L	0	0	0	0	0	0
AIFM1	2526	7144	5569	2839	9673	9742
AIFM2	616	1336	1837	1063	2681	2393
AIFM3	182	54	217	0	95	141
AIG1	787	1243	1523	207	1097	1083
AIM2	0	0	0	0	0	0
AIMP1	348	2589	2054	556	2094	2161
AIMP2	720	1712	1603	468	1976	1705
AIP	609	2159	2141	2009	1732	2198
AIPL1	3	3	78	0	0	28
AIRE	1	0	0	0	0	0
AIRN	0	0	0	0	0	0
AJAP1	0	0	98	0	4	1
AJM1	0	0	0	0	0	0
AJUBA	0	0	0	0	19	6
AK1	3827	2388	2958	784	1922	2734
AK2	3846	11805	12685	6372	14465	14466
AK3	1223	1886	1851	621	2243	1756
AK4	0	71	0	0	3	159
AK5	0	102	179	165	0	0
AK6	267	1980	1460	1144	2347	2749
AK7	0	0	0	0	22	62
AK8	0	29	0	0	0	0
AK9	110	1	1	0	201	1
AKAIN1	0	0	0	0	0	0
AKAP1	263	2282	2711	863	3021	3952
AKAP10	362	899	1289	305	1961	2626
AKAP11	748	4386	5128	1101	4761	4456
AKAP12	141	408	355	441	1145	1048
AKAP13	2639	7185	8589	3747	9375	10621
AKAP14	0	0	0	0	0	0
AKAP17A	1033	2922	2336	2082	6867	5964
AKAP2	1	103	0	0	145	586
AKAP3	0	0	76	0	23	59
AKAP4	0	0	0	0	0	0
AKAP5	830	10	10	0	0	41
AKAP6	658	916	1183	369	2338	2895
AKAP7	6	124	188	4	234	7
AKAP8	1905	1975	2835	874	3547	4433
AKAP8L	941	1066	653	362	1479	1859
AKAP9	883	1600	1470	544	2751	3182
AKIP1	1142	3085	1913	1742	2325	3427
AKIRIN1	1305	9794	11310	3626	13126	13144
AKIRIN2	320	1113	1822	1186	1687	1912
AKNA	532	2723	1793	1688	3608	3037
AKNAD1	0	0	0	0	0	0
AKR1A1	8011	19388	16870	9825	17923	17564
AKR1B1	1764	9863	9719	4711	8806	9342
AKR1B10	86	0	0	0	0	0
AKR1B15	0	0	2	0	28	0
AKR1C1	0	0	0	0	0	0
AKR1C2	0	0	1	0	0	0
AKR1C3	0	2	0	0	0	1
AKR1C4	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	2	0	40	0	0	68
AKR1E2	0	0	91	173	0	1
AKR7A2	884	1819	2837	777	1274	1957
AKR7A2P1	0	0	0	0	0	0
AKR7A3	0	0	0	0	0	0
AKR7L	0	0	0	0	0	0
AKT1	6018	26477	26028	7945	21620	23046
AKT1S1	1025	1435	1335	699	2762	1874
AKT2	1287	3351	3429	2173	3624	4203
AKT3	343	592	874	150	323	791
AKTIP	396	743	429	2	657	647
ALAD	385	1644	516	1293	2589	2230
ALAS1	816	4284	5309	2947	6288	6680
ALAS2	0	0	0	0	0	0
ALB	0	0	0	0	0	0
ALCAM	105	2285	2604	1603	5350	5543
ALDH16A1	5131	10221	9308	4570	7367	7747
ALDH18A1	590	1759	2468	385	2345	1548
ALDH1A1	216	912	1162	1978	5146	5388
ALDH1A2	159	0	0	0	34	198
ALDH1A3	147	0	0	0	0	0
ALDH1B1	916	1618	2493	413	948	1551
ALDH1L1	0	0	0	1	0	0
ALDH1L1-AS1	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0	0
ALDH1L2	43	98	1	0	51	66
ALDH2	577	2486	2868	1626	2689	2810
ALDH3A1	0	0	0	0	28	0
ALDH3A2	460	2447	2274	1177	2967	3465
ALDH3B1	880	3232	3269	2021	2095	3151
ALDH3B2	0	0	0	0	0	0
ALDH4A1	274	732	959	398	1180	776
ALDH5A1	391	350	263	49	607	389
ALDH6A1	1484	947	630	717	1034	1159
ALDH7A1	1366	3826	3896	1647	4651	4382
ALDH8A1	6	0	0	0	2	51
ALDH9A1	1007	4622	5208	1935	5121	6317
ALDOA	22805	57716	54915	36113	44113	52029
ALDOB	0	1	2	0	0	2
ALDOC	177	286	647	184	252	309
ALG1	1013	3413	2841	697	2124	2101
ALG10	160	812	728	671	624	835
ALG10B	170	699	969	543	1199	597
ALG11	0	326	812	336	1152	1532
ALG12	52	1176	1339	1024	1771	1695
ALG13	457	4409	4221	494	2364	2732
ALG14	0	564	587	183	582	197
ALG1L	0	0	5	192	2	0
ALG1L2	0	0	0	0	0	0
ALG1L9P	20	3	0	227	26	2
ALG2	617	1514	1712	1154	2207	1279
ALG3	1872	2676	2377	1052	1212	782
ALG5	484	2668	3815	542	3898	3125
ALG6	205	569	503	436	576	735
ALG8	842	5778	5690	1805	3252	4113
ALG9	158	861	1452	185	823	1293
ALK	0	37	354	1	40	59
ALKAL1	0	0	0	0	0	0
ALKAL2	0	0	0	0	0	0
ALKBH1	0	273	352	349	427	134
ALKBH2	354	434	175	0	122	293
ALKBH3	536	972	574	169	915	392
ALKBH3-AS1	0	0	0	0	0	0
ALKBH4	184	315	158	0	410	967
ALKBH5	2216	7337	7730	3668	6973	7439
ALKBH6	696	804	1091	0	835	1134
ALKBH7	408	1381	743	96	582	477
ALKBH8	195	693	1085	171	1088	718
ALLC	0	0	0	0	0	0
ALMS1	695	621	690	18	756	779
ALMS1-IT1	89	88	1	0	59	103
ALMS1P1	0	0	18	0	0	0
ALOX12	0	0	0	0	0	0
ALOX12-AS1	0	66	1	0	0	80
ALOX12B	0	0	0	0	0	0
ALOX12P2	0	0	0	0	0	0
ALOX15	2	0	0	1	40	156
ALOX15B	0	132	30	1	15	0
ALOX15P1	0	0	0	0	0	0
ALOX5	1382	4597	3372	1495	3288	3392
ALOX5AP	1883	4741	7040	3669	5610	6052
ALOXE3	0	0	0	0	0	0
ALPG	0	0	0	0	0	0
ALPI	0	0	0	0	0	0
ALPK1	603	1595	2177	2058	3005	3219
ALPK2	0	0	99	0	0	0
ALPK3	0	1308	1238	518	824	1055
ALPL	0	0	0	0	0	0
ALPP	0	1	0	0	1	0
ALS2	475	1962	3231	1225	4380	4065
ALS2CL	1	0	0	0	2	1
ALS2CR12	0	0	0	0	0	0
ALX1	0	251	647	171	641	658
ALX3	0	0	1	0	0	0
ALX4	0	0	0	0	0	0
ALYREF	2208	5893	6363	4005	6885	5310
AMACR	86	871	785	213	978	1139
AMBN	0	0	0	0	0	0
AMBP	0	0	0	0	0	0
