symbol	Biffle	CAR_MplusCHLA_3	H9_MplusCHLA_1	H9_MplusCHLA_2	H9_MplusCHLA_3	CAR_MplusCHLA_1	CAR_MplusCHLA_2
ACAA1	2090	7408	2090	5143	4681	3118	5901
ACAA2	2130	8032	2130	6238	7062	4094	8998
ACACA	848	2040	848	595	1187	286	1908
ACACB	0	231	0	51	111	196	266
ACAD10	436	492	436	512	140	400	406
ACAD11	0	390	0	272	328	110	330
ACAD8	124	684	124	397	361	238	640
ACAD9	926	3110	926	3040	2746	1143	2840
ACADL	0	1	0	0	1	0	0
ACADM	373	6762	373	4501	5817	1203	10372
ACADS	224	790	224	71	521	4	615
ACADSB	18	996	18	1220	1100	38	945
ACADVL	4669	13342	4669	9670	9832	7590	11189
ACAN	0	0	0	0	0	0	0
ACAP1	1	960	1	66	12	317	209
ACAP2	170	4080	170	1966	1982	1024	4210
ACAP3	99	893	99	703	1084	463	956
ACAT1	1379	6876	1379	3987	4662	2171	5624
ACAT2	1065	6408	1065	4011	4183	2027	6619
ACBD3	1657	3682	1657	2051	2913	524	2418
ACBD3-AS1	0	0	0	0	0	0	0
ACBD4	315	66	315	162	61	3	143
ACBD5	258	5880	258	2756	3007	1043	6291
ACBD6	471	3053	471	2053	1674	1510	2935
ACBD7	264	72	264	12	9	1	103
ACBD7-DCLRE1CP1	0	0	0	0	0	0	0
ACCS	0	101	0	48	166	160	169
ACCSL	0	0	0	0	0	0	0
ACD	149	1029	149	350	286	202	394
ACE	290	1402	290	575	941	584	592
ACE2	0	3	0	4	4	4	2
ACER1	0	0	0	0	0	0	0
ACER2	1	80	1	90	2	0	98
ACER3	6289	9071	6289	11452	11366	3858	10382
ACHE	0	0	0	0	0	0	0
ACIN1	2447	9316	2447	3552	5099	2842	8197
ACKR1	0	0	0	0	0	0	0
ACKR2	58	21	58	8	10	0	47
ACKR3	0	0	0	1	0	0	0
ACKR4	0	0	0	0	0	0	0
ACLY	2080	10408	2080	6399	8376	4576	9744
ACMSD	0	0	0	0	0	0	0
ACO1	385	4314	385	4721	5023	1697	3980
ACO2	4140	10395	4140	10002	9400	5603	7264
ACOD1	0	0	0	0	0	0	0
ACOT1	120	56	120	0	0	355	331
ACOT11	2343	5190	2343	4013	5058	2642	4353
ACOT12	0	0	0	0	0	0	0
ACOT13	530	3134	530	2620	2025	142	1885
ACOT2	289	1697	289	1339	702	193	1219
ACOT4	0	277	0	0	159	161	42
ACOT6	0	0	0	0	0	0	0
ACOT7	505	700	505	1366	1750	817	1114
ACOT8	174	679	174	371	387	493	623
ACOT9	2567	5020	2567	4248	4986	2142	5607
ACOX1	396	4575	396	3583	3732	1748	4649
ACOX2	0	63	0	55	1	0	63
ACOX3	562	1637	562	1950	1387	1516	977
ACOXL	0	0	0	0	0	0	0
ACOXL-AS1	0	0	0	0	0	0	0
ACP1	459	2757	459	2426	3065	1191	3636
ACP2	970	3290	970	2284	2157	2312	3300
ACP4	0	0	0	0	0	0	0
ACP5	4252	10872	4252	6982	8047	6449	8691
ACP6	0	107	0	267	50	8	216
ACP7	228	0	228	0	0	0	14
ACPP	461	1337	461	649	579	450	1243
ACR	0	0	0	0	0	0	0
ACRBP	1	367	1	704	494	0	385
ACRV1	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0
ACSBG2	0	0	0	0	0	0	0
ACSF2	2	300	2	177	136	1	311
ACSF3	724	1820	724	1538	1831	1559	1533
ACSL1	453	3427	453	2693	3554	1643	3044
ACSL3	3001	17209	3001	10499	10689	6003	15378
ACSL4	473	8226	473	6827	11258	2680	9431
ACSL5	145	1239	145	1133	2144	309	1402
ACSL6	4	0	4	0	0	0	0
ACSM1	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0	0
ACSM4	0	0	0	0	0	0	0
ACSM5	0	199	0	0	0	164	0
ACSM6	0	0	0	0	0	0	0
ACSS1	1250	2320	1250	2292	1497	739	1720
ACSS2	173	2666	173	881	991	1920	2095
ACSS3	189	260	189	293	181	0	490
ACTA1	44	0	44	8	33	0	0
ACTA2	1	2	1	339	1	0	0
ACTA2-AS1	0	0	0	0	0	0	0
ACTB	318040	871774	318040	1176857	1238357	481816	907370
ACTBL2	0	0	0	0	0	0	0
ACTC1	0	0	0	9	0	0	0
ACTG1	104071	309845	104071	330004	319007	139514	301640
ACTG1P17	87	38	87	1	0	0	1
ACTG1P20	3	77	3	31	29	4	212
ACTG1P4	0	0	0	0	0	0	1
ACTG2	1	2	1	404	0	0	1
ACTL10	0	45	0	16	61	0	0
ACTL6A	504	5343	504	2963	3324	1612	5243
ACTL6B	0	24	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0
ACTN1	2115	11213	2115	13821	12974	6199	9965
ACTN1-AS1	0	0	0	0	0	0	0
ACTN2	0	2	0	0	0	0	44
ACTN3	0	0	0	0	0	0	0
ACTN4	1803	10242	1803	7368	6227	3821	7062
ACTR10	1221	6526	1221	4912	4766	2455	7552
ACTR1A	3705	8919	3705	7599	8721	3198	8223
ACTR1B	212	1488	212	1974	1661	360	1761
ACTR2	45985	304650	45985	252975	296298	88911	326471
ACTR3	6375	61320	6375	50676	63812	18014	61509
ACTR3B	0	278	0	179	512	0	136
ACTR3BP2	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0
ACTR3C	712	178	712	164	29	6	15
ACTR5	200	515	200	204	282	49	341
ACTR6	236	1527	236	1217	971	481	1537
ACTR8	508	3785	508	2658	2259	937	4022
ACTRT1	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0
ACTRT3	0	196	0	258	197	159	192
ACVR1	0	507	0	614	524	341	979
ACVR1B	0	1536	0	1207	1594	308	1706
ACVR1C	0	0	0	0	0	0	0
ACVR2A	0	342	0	139	222	0	354
ACVR2B	0	614	0	332	651	12	302
ACVR2B-AS1	162	0	162	1	9	0	0
ACVRL1	411	1861	411	1326	1001	760	1883
ACY1	489	2117	489	2185	1642	777	1970
ACY3	0	0	0	0	0	0	0
ACYP1	406	716	406	144	146	0	434
ACYP2	130	98	130	256	220	0	7
ADA	257	585	257	826	754	361	954
ADA2	7074	19873	7074	43039	47434	6795	20480
ADAD1	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0
ADAL	6	265	6	470	302	0	609
ADAM10	2669	14480	2669	12413	13646	4869	16525
ADAM11	0	0	0	0	0	0	0
ADAM12	0	0	0	114	79	106	0
ADAM15	627	1806	627	1902	1550	1496	1970
ADAM17	726	6720	726	2885	3383	932	5141
ADAM18	0	0	0	0	0	0	0
ADAM19	136	1	136	119	43	0	69
ADAM1A	106	183	106	48	0	0	105
ADAM2	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	16
ADAM21	0	0	0	0	0	0	0
ADAM21P1	0	0	0	0	0	0	0
ADAM22	0	57	0	0	0	0	94
ADAM23	0	234	0	62	0	0	320
ADAM28	1077	4370	1077	5033	5310	1653	5706
ADAM29	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0	0
ADAM3A	0	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0
ADAM8	0	1684	0	260	159	982	1001
ADAM9	1611	24062	1611	15094	21158	5056	21613
ADAMDEC1	154	1565	154	1209	850	572	3013
ADAMTS1	0	23	0	2	0	0	0
ADAMTS10	172	0	172	0	0	0	0
ADAMTS12	0	0	0	1	195	0	88
ADAMTS13	0	11	0	0	0	0	0
ADAMTS14	0	0	0	74	0	0	73
ADAMTS15	0	0	0	0	15	180	200
ADAMTS16	0	0	0	0	0	0	0
ADAMTS17	157	85	157	1038	680	0	110
ADAMTS18	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	102
ADAMTS19-AS1	0	0	0	0	0	0	0
ADAMTS2	4	1	4	0	3	7	0
ADAMTS20	0	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0	0
ADAMTS4	59	94	59	214	268	8	157
ADAMTS5	3	2	3	0	3	2	2
ADAMTS6	0	73	0	0	0	0	0
ADAMTS7	0	0	0	0	0	0	0
ADAMTS7P1	0	0	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0	0
ADAMTS9	1	64	1	0	18	0	55
ADAMTS9-AS1	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0	0
ADAMTSL2	72	72	72	101	0	122	0
ADAMTSL3	0	0	0	0	0	0	0
ADAMTSL4	423	2363	423	1600	783	292	1341
ADAMTSL4-AS1	20	0	20	3	4	0	0
ADAMTSL5	4	0	4	1	0	0	2
ADAP1	1136	4333	1136	4182	2739	3457	3369
ADAP2	2160	8640	2160	10260	10336	4263	9281
ADAR	2029	8211	2029	5169	4442	2778	7827
ADARB1	158	617	158	219	241	1	489
ADARB2	0	0	0	1	0	0	0
ADARB2-AS1	0	0	0	0	0	0	0
ADAT1	888	1374	888	648	756	229	1258
ADAT2	498	724	498	632	476	624	589
ADAT3	103	0	103	122	0	289	0
ADCK1	0	1119	0	895	597	406	622
ADCK2	1683	2294	1683	6040	5270	578	1933
ADCK5	419	391	419	65	339	137	379
ADCY1	28	59	28	0	73	118	133
ADCY10	0	0	0	0	0	0	0
ADCY10P1	4	0	4	0	0	0	39
ADCY2	0	3	0	0	0	0	0
ADCY3	385	498	385	948	1287	267	1115
ADCY4	0	3	0	0	64	0	108
ADCY5	0	0	0	0	0	0	1
ADCY6	225	456	225	1204	991	154	570
ADCY7	398	4549	398	4038	4454	1248	5609
ADCY8	0	0	0	0	0	0	0
ADCY9	96	319	96	395	143	1	647
ADCYAP1	0	0	0	0	0	0	0
ADCYAP1R1	0	2	0	81	98	0	2
ADD1	2566	12312	2566	8285	9742	4422	13140
ADD2	0	58	0	0	0	0	0
ADD3	2	1222	2	800	169	2	1025
ADD3-AS1	0	0	0	0	0	0	0
ADGB	0	0	0	0	0	0	4
ADGRA1	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0
ADGRA2	2	0	2	73	148	0	86
ADGRA3	0	1	0	91	139	53	67
ADGRB1	0	0	0	0	0	0	0
ADGRB2	0	0	0	1	0	0	0
ADGRB3	0	0	0	0	0	0	0
ADGRD1	0	41	0	0	78	1	0
ADGRD1-AS1	0	0	0	0	0	0	0
ADGRE1	0	184	0	149	200	260	121
ADGRE2	195	2332	195	1371	1640	190	1334
ADGRE3	0	0	0	0	0	0	0
ADGRE4P	0	492	0	92	0	145	490
ADGRE5	1	883	1	567	470	1137	594
ADGRF1	0	0	0	0	0	0	0
ADGRF2	737	107	737	332	4	155	1
ADGRF3	0	0	0	0	0	0	0
ADGRF4	0	0	0	0	0	0	0
ADGRF5	0	0	0	0	0	624	0
ADGRG1	0	0	0	0	0	0	0
ADGRG2	0	55	0	0	1	0	0
ADGRG3	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0	0
ADGRG6	5	237	5	197	117	293	489
ADGRG7	0	0	0	0	1	0	0
ADGRL1	6	3	6	82	0	3	29
ADGRL2	61	125	61	0	3	1	3
ADGRL3	0	0	0	0	0	0	31
ADGRL3-AS1	0	0	0	0	0	0	0
ADGRL4	0	0	0	0	83	0	0
ADGRV1	1	44	1	0	78	1	97
ADH1A	0	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0	0
ADH4	0	0	0	1	0	0	0
ADH5	1295	5318	1295	5025	5359	2016	4915
ADH6	0	0	0	0	0	0	0
ADH7	0	0	0	1	0	0	0
ADHFE1	1	0	1	55	0	0	0
ADI1	1646	10475	1646	8202	7687	4500	11534
ADIG	0	0	0	0	0	0	0
ADIPOQ	96	4	96	1	5	0	18
ADIPOQ-AS1	0	2	0	0	0	0	0
ADIPOR1	1802	8945	1802	7655	9807	1359	10673
ADIPOR2	283	6378	283	4085	4973	1881	6767
ADIRF	0	0	0	0	0	0	0
ADK	291	1941	291	1250	1304	524	1938
ADM	0	692	0	681	343	226	905
ADM2	16	3	16	13	0	0	0
ADM5	0	0	0	0	0	0	0
ADNP	634	3480	634	2273	2632	864	3134
ADNP-AS1	1	1	1	76	75	0	114
ADNP2	0	310	0	735	1030	469	894
ADO	297	1121	297	1961	1070	328	1656
ADORA1	0	385	0	290	224	485	282
ADORA2A	0	0	0	0	0	0	62
ADORA2A-AS1	0	0	0	24	1	50	25
ADORA2B	179	506	179	125	360	2	442
ADORA3	7409	11183	7409	14565	17096	5496	13512
ADPGK	1753	9546	1753	7177	9223	2640	10133
ADPGK-AS1	0	0	0	0	0	0	0
ADPRH	230	1133	230	976	1666	278	1512
ADPRHL1	0	26	0	0	0	0	0
ADPRHL2	2666	6409	2666	4953	4116	2152	6057
ADPRM	0	177	0	2	52	1	57
ADRA1A	15	59	15	0	19	0	79
ADRA1B	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	9
ADRA2A	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0
ADRA2C	0	0	0	0	0	0	0
ADRB1	3	4	3	94	224	0	1
ADRB2	0	457	0	371	496	534	488
ADRB3	0	0	0	3	0	0	3
ADRM1	4709	6748	4709	8445	5759	6062	6450
ADSL	1232	4001	1232	5490	6224	1935	4315
ADSS	345	4382	345	4084	4488	1553	4570
ADSSL1	0	0	0	56	0	0	70
ADTRP	2919	10340	2919	15787	18199	3217	10101
AEBP1	1	3	1	1	260	2	83
AEBP2	2	1451	2	766	993	14	1347
AEN	484	1481	484	886	1286	132	827
AES	887	4291	887	3901	3112	2765	2918
AFAP1	1	366	1	331	79	0	296
AFAP1-AS1	5	0	5	0	132	2	0
AFAP1L1	85	119	85	1	130	0	276
AFAP1L2	0	0	0	1	93	0	0
AFDN	209	2222	209	1980	1790	738	1504
AFDN-DT	0	0	0	8	0	0	58
AFF1	1048	9081	1048	5328	4494	2763	10720
AFF1-AS1	410	73	410	160	381	247	271
AFF2	1	1	1	0	1	0	27
AFF3	45	217	45	5	6	336	186
AFF4	1154	3882	1154	2603	3390	598	3804
AFG1L	127	1243	127	600	929	206	729
AFG3L1P	194	895	194	364	159	178	735
AFG3L2	4359	15851	4359	11464	13200	6656	12488
AFM	0	0	0	0	0	0	0
AFMID	973	638	973	575	856	55	642
AFP	0	6	0	0	2	2	2
AFTPH	1261	3135	1261	2832	2832	1738	3996
AGA	20	968	20	1039	970	191	783
AGAP1	165	334	165	204	175	328	151
AGAP1-IT1	0	0	0	0	0	0	0
AGAP11	0	0	0	0	0	0	0
AGAP12P	0	59	0	2	0	0	0
AGAP2	165	421	165	171	402	81	189
AGAP2-AS1	327	219	327	779	329	184	208
AGAP3	6793	14774	6793	9649	8062	6075	13733
AGAP4	0	0	0	0	0	0	89
AGAP5	0	45	0	0	0	0	0
AGAP6	201	139	201	33	122	0	0
AGAP7P	0	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0	47
AGBL1	0	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0	0
AGBL3	0	63	0	0	74	0	27
AGBL4	2	0	2	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0
AGBL5	0	352	0	134	463	197	270
AGBL5-AS1	0	0	0	0	0	0	0
AGER	0	72	0	26	86	0	142
AGFG1	438	2845	438	2903	2458	1062	3136
AGFG2	0	448	0	180	348	188	256
AGGF1	912	4011	912	3086	2707	605	3615
AGK	120	1000	120	838	1068	131	722
AGL	316	733	316	1388	730	1	1225
AGMAT	417	176	417	290	2	2	200
AGMO	3	2	3	74	60	0	1
AGO1	2948	5925	2948	6632	6729	3764	6486
AGO2	337	2123	337	2136	2818	248	2454
AGO3	0	311	0	349	335	53	276
AGO4	414	5607	414	2383	2616	1051	3856
AGPAT1	1970	3289	1970	5471	4186	1480	3377
AGPAT2	1939	2712	1939	2027	3215	1864	1815
AGPAT3	1996	7059	1996	6484	5388	2904	6231
AGPAT4	999	3866	999	1936	1756	1620	3107
AGPAT4-IT1	0	141	0	57	0	0	83
AGPAT5	916	2594	916	4544	4635	941	3277
AGPS	1248	4194	1248	3515	5116	2195	5078
AGR2	7	447	7	150	162	219	820
AGR3	0	2	0	0	0	1	0
AGRN	155	1611	155	583	720	1208	940
AGRP	0	0	0	0	0	0	0
AGT	1	416	1	275	288	335	471
AGTPBP1	556	2126	556	1996	1803	510	2685
AGTR1	0	0	0	0	2	0	2
AGTR2	0	0	0	0	0	1	0
AGTRAP	202	814	202	700	968	894	1204
AGXT	0	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0
AHCTF1	338	1951	338	1572	1594	409	2156
AHCTF1P1	0	1	0	0	157	7	0
AHCY	15499	29660	15499	30744	28965	12152	27153
AHCYL1	747	6512	747	7123	6882	2088	6729
AHCYL2	514	688	514	606	909	98	854
AHDC1	0	352	0	295	249	0	93
AHI1	98	337	98	235	353	96	430
AHNAK	4288	11419	4288	8209	7238	4744	8789
AHNAK2	0	70	0	1	0	0	52
AHR	382	1496	382	296	354	591	2194
AHRR	224	4014	224	1967	2063	1329	5475
AHSA1	5735	12961	5735	15412	11387	3067	14485
AHSA2P	37	360	37	299	342	355	1159
AHSG	1	0	1	0	0	0	0
AHSP	0	0	0	0	0	0	0
AICDA	251	37	251	17	1	226	9
AIDA	1547	6626	1547	6374	6310	5444	8194
AIF1	11552	27784	11552	22798	22982	10597	26612
AIF1L	0	0	0	0	0	0	0
AIFM1	2526	9742	2526	7144	5569	2839	9673
AIFM2	616	2393	616	1336	1837	1063	2681
AIFM3	182	141	182	54	217	0	95
AIG1	787	1083	787	1243	1523	207	1097
AIM2	0	0	0	0	0	0	0
AIMP1	348	2161	348	2589	2054	556	2094
AIMP2	720	1705	720	1712	1603	468	1976
AIP	609	2198	609	2159	2141	2009	1732
AIPL1	3	28	3	3	78	0	0
AIRE	1	0	1	0	0	0	0
AIRN	0	0	0	0	0	0	0
AJAP1	0	1	0	0	98	0	4
AJM1	0	0	0	0	0	0	0
AJUBA	0	6	0	0	0	0	19
AK1	3827	2734	3827	2388	2958	784	1922
AK2	3846	14466	3846	11805	12685	6372	14465
AK3	1223	1756	1223	1886	1851	621	2243
AK4	0	159	0	71	0	0	3
AK5	0	0	0	102	179	165	0
AK6	267	2749	267	1980	1460	1144	2347
AK7	0	62	0	0	0	0	22
AK8	0	0	0	29	0	0	0
AK9	110	1	110	1	1	0	201
AKAIN1	0	0	0	0	0	0	0
AKAP1	263	3952	263	2282	2711	863	3021
AKAP10	362	2626	362	899	1289	305	1961
AKAP11	748	4456	748	4386	5128	1101	4761
AKAP12	141	1048	141	408	355	441	1145
AKAP13	2639	10621	2639	7185	8589	3747	9375
AKAP14	0	0	0	0	0	0	0
AKAP17A	1033	5964	1033	2922	2336	2082	6867
AKAP2	1	586	1	103	0	0	145
AKAP3	0	59	0	0	76	0	23
AKAP4	0	0	0	0	0	0	0
AKAP5	830	41	830	10	10	0	0
AKAP6	658	2895	658	916	1183	369	2338
AKAP7	6	7	6	124	188	4	234
AKAP8	1905	4433	1905	1975	2835	874	3547
AKAP8L	941	1859	941	1066	653	362	1479
AKAP9	883	3182	883	1600	1470	544	2751
AKIP1	1142	3427	1142	3085	1913	1742	2325
AKIRIN1	1305	13144	1305	9794	11310	3626	13126
AKIRIN2	320	1912	320	1113	1822	1186	1687
AKNA	532	3037	532	2723	1793	1688	3608
AKNAD1	0	0	0	0	0	0	0
AKR1A1	8011	17564	8011	19388	16870	9825	17923
AKR1B1	1764	9342	1764	9863	9719	4711	8806
AKR1B10	86	0	86	0	0	0	0
AKR1B15	0	0	0	0	2	0	28
AKR1C1	0	0	0	0	0	0	0
AKR1C2	0	0	0	0	1	0	0
AKR1C3	0	1	0	2	0	0	0
AKR1C4	0	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0	0
AKR1D1	2	68	2	0	40	0	0
AKR1E2	0	1	0	0	91	173	0
AKR7A2	884	1957	884	1819	2837	777	1274
AKR7A2P1	0	0	0	0	0	0	0
AKR7A3	0	0	0	0	0	0	0
AKR7L	0	0	0	0	0	0	0
AKT1	6018	23046	6018	26477	26028	7945	21620
AKT1S1	1025	1874	1025	1435	1335	699	2762
AKT2	1287	4203	1287	3351	3429	2173	3624
AKT3	343	791	343	592	874	150	323
AKTIP	396	647	396	743	429	2	657
ALAD	385	2230	385	1644	516	1293	2589
ALAS1	816	6680	816	4284	5309	2947	6288
ALAS2	0	0	0	0	0	0	0
ALB	0	0	0	0	0	0	0
ALCAM	105	5543	105	2285	2604	1603	5350
ALDH16A1	5131	7747	5131	10221	9308	4570	7367
ALDH18A1	590	1548	590	1759	2468	385	2345
ALDH1A1	216	5388	216	912	1162	1978	5146
ALDH1A2	159	198	159	0	0	0	34
ALDH1A3	147	0	147	0	0	0	0
ALDH1B1	916	1551	916	1618	2493	413	948
ALDH1L1	0	0	0	0	0	1	0
ALDH1L1-AS1	0	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0	0	0
ALDH1L2	43	66	43	98	1	0	51
ALDH2	577	2810	577	2486	2868	1626	2689
ALDH3A1	0	0	0	0	0	0	28
ALDH3A2	460	3465	460	2447	2274	1177	2967
ALDH3B1	880	3151	880	3232	3269	2021	2095
ALDH3B2	0	0	0	0	0	0	0
ALDH4A1	274	776	274	732	959	398	1180
