gene_id	Comb5_DLL4_plus__CD144_plus__Cy0657_num_5_p2_Rep1	Comb5_DLL4_plus__CD144_plus__Cy0657_num_5_p2_Rep2	Comb5_DLL4_plus__CD144_plus__Cy0657_num_5_p2_Rep3	Comb5_DLL4__CD144__Cy0657__num_5_p2_Rep_1	Comb5_DLL4__CD144__Cy0657__num_5_p2_Rep_2	Comb5_DLL4__CD144__Cy0657__num_5_p2_Rep_3
ABTB1	23	27	93	27	46	13
ABTB2	9	3	20	18	17	39
ACAA1	198	227	206	121	110	146
ACAA2	232	302	393	325	222	367
ACACA	309	878	1200	1964	1319	1622
ACACB	20	0.36	6	22	9	3
ACAD10	0	29	5	28	14	6.53
ACAD11	86.09	157.94	204.81	165.9	188	81.47
ACAD8	4	1	27	10	27	13
ACAD9	224	99	230.52	382	334	325
ACADL	70	97	77	49	61	50
ACADM	345.02	622	510	556	337	317
ACADS	48	129	71	56	42	36
ACADSB	105	101.57	222.02	235.74	106.9	262.99
ACADVL	229	220	315	234	186	217.93
ACAN	0	0	0	0	3	0
ACAP1	0	4	0	0	0	1
ACAP2	345.2	607.11	1029.12	932.34	566.43	587.83
ACAP3	141	184	271	155	148	179
ACAT1	197	308	245	459	365.9	264
ACAT2	3341.58	6414.01	4402	6543	4171	4726
ACBD3	194.69	340	495	518.31	413	398
ACBD4	14	7	31	23	5	6
ACBD5	187.15	298.83	407.81	237.04	192.74	264.7
ACBD6	373	795	410	488	422	444.15
ACBD7	0	0	3	0	0	0
ACCS	12	62	85.23	6	13	6
ACCSL	0	0	0	0	0	0
ACD	20	53	27	39	41	59
ACE	20	28	66	19	3	2
ACE2	0	0	0	0	0	0
ACER1	4.89	0	0	4.51	12.43	11.2
ACER2	1	22	27	70	36	12
ACER3	125	191	194	148	53	127
ACHE	0	0	0	0	0	3
ACIN1	568.09	1785	926.06	979	658	734.19
ACKR1	0	0	0	0	0	0
ACKR2	26.76	3.81	25.77	19.56	7.97	3.19
ACKR3	0	4	7	30	38	60
ACKR4	0	0	0	0	0	0
ACLY	1173	1514.61	3024	3013	1951.04	2536
ACMSD	0	0	0	0	0	0
ACO1	276	323	550	985	690	812
ACO2	345	408	546	503.55	496	631
ACOT11	14	2.01	4.01	0	0	8.01
ACOT12	0	0	0	0	0	0
ACOT13	25	5.02	27	37	39	49
ACOT2	76.43	238.15	207	251	164.09	144
ACOT4	0	0.83	0	0	0	0
ACOT6	0	0	12	0	0	1
ACOT7	181	233	241	189	263	188
ACOT8	65.18	168	93	55	45	63
ACOT9	268	322	335	129	153	76
ACOX1	138.42	161.56	214.17	149.89	141.6	93.36
ACOX2	0	3	24	11	0	11
ACOX3	61	58	47	51	66.88	55
ACOXL	0	0	0	0	0	0
ACP1	409.83	362	383.13	662.31	363.91	519.85
ACP2	176	250	180	234	123	150
ACP5	74	187	104	0	0	6
ACP6	319	315	186	190	171	154
ACP7	11.86	13.61	7.03	5.19	1.04	0
ACPP	0	0	0	0	0	5
ACPT	0	0	0	0	0	0
ACR	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0
ACRC	3	21	21	9	19	2
ACRV1	0	0	0	0	0	0
ACSBG1	18	1	60	0	0	0
ACSBG2	0	0	0	0	0	0
ACSF2	0	24	17	7	8	6
ACSL1	0	24	29	27	17	23
ACSL3	1053	1886	1869.02	2755	1776.18	2263
ACSL4	603.01	760.99	1378.34	1667	1195	1423.15
ACSL5	9	0	15	12	28	27
ACSL6	42.61	101.98	33.52	27.93	17.62	31.05
ACSM1	0	0	0	0	0	0
ACSM3	0	10	0	0	0	0
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSS1	22	17	27	24	17	25
ACSS2	455	695	684	760	551	658
ACSS3	57.61	67.06	84.27	162.97	81.05	135.99
ACTA1	0	1.04	0	4.01	4.03	0
ACTA2	6	7	7	1451.07	1226.94	1386.03
ACTB	12679.43	14944.92	15908.79	14691.45	14957.91	14002.5
ACTBL2	0	0	0	0	0	0
ACTC1	0	0	0	29.06	23.04	8
ACTG1	12538.57	16020.02	18701.02	18847.38	15703.56	17505.03
ACTG2	0	2.01	3.41	51.02	45.01	43.02
ACTL10	0	3.66	0.3	0	0	0
ACTL6A	274	407	484	837	665	640.97
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	0	0	0	1	0	1
ACTL9	0	0	0	0	0	0
ACTN1	988.51	1285.5	2092.15	2565	1603.36	2048.17
ACTN2	5	35	5	0	1	10
ACTN3	1	0	7	51	19	29.02
ACTN4	824.49	1341.53	2239.71	2797.01	1979.64	2609.81
ACTR10	325	612	636	348	371	436
ACTR1A	569	601	926	1138	760	932.01
ACTR1B	92	273.02	229	190	171	209.99
ACTR2	2413.69	3092.56	3731.99	3786.87	2480.84	2737.29
ACTR3	1627.04	2468	2682.41	2395.99	1872.97	1537.7
ACTR3B	90	163	149	125	143	107.95
ACTR5	14	2	41	36	32	39
ACTR6	135	140	140.58	132	182	134
ACTR8	253	220.14	294	327	252	283
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	24.02	51	31.06	34	0	17
ACVR1	49	230	102	203	99	118
ACVR1B	51	64	96	218	153	214
ACVR1C	0	0	0	0	0	0
ACVR2A	14	47	72	48	45	34
ACVR2B	82	147.01	233.11	683.04	470	614.01
ACVRL1	547.17	623.37	904.8	144.12	94	80.58
ACY1	20	2	29	12	10	24
ACY3	0	0	0	0	0	0
ACYP1	67	100	65	27	33	26
ACYP2	5	68	22	8	15	0
ADA	40	39.99	37	3	20	14
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	23	0	61.52	63	19	30.1
ADAM1	9	0	14.01	0	5	0
ADAM10	921	1002.82	1884.02	1733	1080.92	1182
ADAM11	0	0	4	0	0	9
ADAM12	114	15	462	343	240	351
ADAM15	535	798	963	117	75	180
ADAM17	540.99	916.72	955.07	820.1	542.01	478
ADAM19	329	583	894	911	605	721
ADAM2	0	0	0	0	0	0
ADAM21	0	0	0	1	0	13
ADAM22	11	2	23	73	36	58
ADAM23	31	75	43	30	5	14
ADAM28	0	1	0	0	0	4
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0
ADAM33	0	0	8	4	10	16
ADAM7	0	0	0	0	0	0
ADAM8	0	1	7	7	2	11
ADAM9	407	642	1058	1368	1126	1103
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	185	267	291	229	137	208
ADAMTS10	45	16	60	18	27	19
ADAMTS12	70	154	305	850	574	703
ADAMTS13	1	0	11.03	0	0	7
ADAMTS14	0	0	0	8	0	3
ADAMTS15	1	2	2	260	200	279
ADAMTS16	0	0	0	8	0	0
ADAMTS17	0	82.06	25.56	41.1	39.22	17.13
ADAMTS18	0	53	23	14	15	14
ADAMTS19	1	41	2	48	19	48
ADAMTS2	0	0	0	20	3	23
ADAMTS20	0	0	0	10	0	1
ADAMTS3	55	89	153	94	66	71
ADAMTS4	17.35	48.14	44.87	1	3.03	6.17
ADAMTS5	0	0	3	19	3	17
ADAMTS6	0	1	22	26	26	18
ADAMTS8	0	3.01	0	4	0	16.93
ADAMTS9	320	459	1004	613	315.29	511
ADAMTSL1	0	0	0	0	4	1
ADAMTSL2	0	0	0	4	0	4
ADAMTSL3	2	1	0	107	27	57
ADAMTSL4	3	28	25	18	39	43
ADAMTSL5	0	0	0	0	0	3
ADAP1	0	1	1	0	0	4
ADAP2	0	0	0	36	20	2.29
ADAR	276.66	248.38	885.36	1205.57	681.5	887.65
ADARB1	39.57	121.7	159.05	81.01	38	58
ADARB2	0	0	0	0	0	0
ADAT1	9	5	20.02	57	1	10
ADAT2	48	11	32	101	68	101
ADAT3	0	0	6	0	4	0
ADCK1	13	65	53	19	19	18
ADCK2	25	129	54.14	36	12	53
ADCK3	39	125	93	77.88	62	83
ADCK4	0	26	55	56	17.68	42
ADCK5	31	109	46	20	61	75
ADCY1	20	0	39	18	25	18
ADCY10	0	0	0	0	0	0
ADCY2	0	0	0	17	22	15
ADCY3	27	0	9	13	39	26
ADCY4	39	186	217	15	7	17
ADCY5	0	0	11	167	66.21	154
ADCY6	63.13	55.02	121.81	229.14	205.38	169.49
ADCY7	12	4	66	154	166	76
ADCY8	0	0	0	0	0	6
ADCY9	34	0	48	94	35	61
ADCYAP1	0	1.1	0	0	0	4
ADCYAP1R1	49	1	20	84	102	72
ADD1	804	1311	1475.04	1693	1428.26	1435.04
ADD2	1.94	140.3	34.95	67.9	33.77	31.45
ADD3	671	946	1426.45	1725	1351.03	1455
ADGB	0	0	0	0	0	0
ADGRA2	56.99	115	266	118	46.03	139
ADGRA3	12	33	71	513	306	343
ADGRB1	0	0	0	0	0	0
ADGRB2	0	0	0	18	16	18
ADGRB3	16	1	4	48	0	27.98
ADGRD1	0	0	0	10	7	2
ADGRD2	0	0	0	0	0	0
ADGRE2	0	1.95	1.82	0	4	6.49
ADGRE3	0	0	0	0	0	0
ADGRE5	76	45.05	136.83	120.14	19.01	69.51
ADGRF1	6	0	2	8	0	0
ADGRF2	0	0	0	0	12	0
ADGRF3	0	0	9.95	10	17	18
ADGRF4	0	0	0	25	44	54
ADGRF5	1083	2129.37	3492.78	370	222.18	333
ADGRG1	102.19	109	350.97	141	124	173
ADGRG2	0	0	0	0	0	0
ADGRG3	0	1	0	0	0	0
ADGRG4	0	0	0	0	0	0
ADGRG5	0	1.28	0	0	5	0
ADGRG6	76	133	219	194	99	107
ADGRG7	0	0	0	0	0	0
ADGRL1	26	1.27	38	83.89	85	85
ADGRL2	778	1541	2258	3595.14	2239	2702.01
ADGRL3	22	2	85	498.99	281	300
ADGRL4	1002	1597	1253	231	154	122.8
ADGRV1	0	0	13	17	20	44
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH4	0	0	0	0	0	0
ADH5	1475	1936	1707.01	2251	1670	1915
ADH6	0	0	0	1	0	0
ADH7	0	0	0	9	0	6
ADHFE1	0	0	0	0	0	5
ADI1	209	196	133	209	154	155
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOR1	275	518	407	185	220	247
ADIPOR2	79	62	308	229	168	216.01
ADIRF	0	0	0	0	0	0
ADK	178.99	170	122.29	317	220	254
ADM	297	441	409	16	29	44
ADM2	0	0	5	0	0	0
ADM5	0	0	0	0	0	0
ADNP	256	259	650	990	936	852
ADNP2	43	176	242	461.03	232	377.49
ADO	140	52	66.97	102	106	78
ADORA1	12	0	0	20	21	10
ADORA2A	89	25	154.01	49	52	62
ADORA2B	47	10	0	18	15	31
ADORA3	21	0	0	0	0	0
ADPGK	227	251	404.09	274	312	283
ADPRH	72	52	165.01	100	72	90
ADPRHL2	261	458	161	212	180	177
ADPRM	14	1	17	0	0	10
ADRA1A	0	0	0	2	0	0
ADRA1B	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0
ADRA2A	8	1	0	7	0	4
ADRA2B	0	0	0	0	1	1
ADRA2C	0	0	0	0	0	0
ADRB1	6	0	3.99	19	17	30
ADRB2	0	0	0	0	0	7
ADRB3	0	0	0	0	0	0
ADRBK1	147	565	377	249	129	190
ADRBK2	16	77.99	75	118	66	99.06
ADRM1	355	943	512	637	492	538
ADSL	151	284	244	275	217	293.96
ADSS	216	717	631	830	503	704
ADSSL1	15	119	54	36	22	52
ADTRP	0	0	0	2	0	15.92
AEBP1	394	606	1103	1893	1381	1735
AEBP2	14	39	90	130	84.72	99
AEN	25	1	30	101	92	111
AES	310	256	251	185	202	234
AFAP1	223.27	256	575.01	638	497.98	581
AFAP1L1	358.68	987.3	1109.39	94.8	73.08	78
AFAP1L2	0	3	0	68	59	65
AFF1	282.68	316.57	679.39	212.16	119	170.1
AFF2	0.74	1	0	31	29	22
AFF3	6.49	2.34	27.86	86.87	63.42	92.99
AFF4	421	259	790	1273	614	784
AFG3L2	18	32	46.06	35	22.86	19.7
AFM	0	0	0	0	0	0
AFMID	17	3	27	6	7	15.92
AFP	0	0	0	0	0	0
AFTPH	110	110.01	134	152	84	121
AGA	160	126	165	212	159	150
AGAP1	86	174	293.98	259	179.93	157.97
AGAP2	11	22	17	0	0	1
AGAP3	411	636	700	391	290.55	417.93
AGBL1	0	0	0	0	0	0
AGBL2	0	0	10	0	0	0
AGBL4	0	0	0	0	0	0
AGBL5	10	62	58	88	48	57
AGER	26	6	70	23.94	25	6
AGFG1	142	205.15	411.96	348	322	372.01
AGFG2	19	27	27	35	29	34
AGGF1	413	554	391	641	456	486
AGK	2	225	108	130	84	147
AGL	130	53	340	294	317	245
AGMAT	2.54	20.84	11.98	14.29	11.26	21.13
AGMO	0	0	0	0	0	0
AGO2	101.94	23.27	169	339	199	191
AGO3	41	13	165.65	193.77	118.39	104.1
AGO4	124.67	285.74	314.06	260.5	171.8	209.81
AGPAT1	143	143	147	256	211	256
AGPAT2	40	39	96	72	57	113
AGPAT3	34	11	126	97	81	119
AGPAT4	294	591	272.45	258	276	222
AGPAT5	737	998	1343.82	731.07	506	565.09
AGPS	261	403	615.01	1164	768.12	726
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	625	842	1626.26	1530	1354.72	1680.01
AGRP	0	0	0	0	0	0
AGT	18	1	5	129	104.92	139
AGTPBP1	44	4	195	307	206	236
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	6	19	12
AGTRAP	27	56	80	100	66	46
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	279	534	711	1209	667.02	639.53
AHCY	1427	1813	1380.01	2723	2073	2196
AHCYL1	116.9	359	650.01	905.94	493	705
AHCYL2	123	78	167.76	107	54.02	94
AHDC1	7.29	30.55	66.07	132	58	158.35
AHI1	26	41	51	306	171	159
AHNAK	2044	2914	8199.97	5656.2	3885	4665
AHNAK2	22	17	189	100	72	84
AHR	112	35	171.98	41	23	49
AHRR	37	50	107.02	26.04	8	8
AHSA1	317	646	529	620	475	562
AHSA2	595.36	782.12	698.35	641.33	467.68	446.38
AHSG	0	0	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	1.9	0	2.88	6	0	0
AIDA	1074.34	1977.58	1611.51	1910.82	1361.68	1652.93
AIF1	142	48	30	1	0	0
AIF1L	41	142	103	198	134	212
AIFM1	280	483	421	811	499.9	641
AIFM2	10.66	2	23.86	55	24.05	38.22
AIFM3	0	0	8	0	0	0
AIG1	145	238	151.01	124	98	89
AIM1	5	14.06	12.28	0	5.04	7.03
AIM1L	0	1	0	29	8	8
AIM2	0	26	0	0	0	0
AIMP1	404	596	345	668.53	375	417
AIMP2	115	256	185	264	266	312
AIP	139	251	175	106	191	89
AIPL1	27.77	15.06	13.97	12.42	0	6.15
AIRE	0	0	0	0	0	0
AJAP1	0	0	5	18	12	12
AJUBA	113	234.02	244.11	563.98	556.84	552
AK1	170	198	82	111	97	75.53
AK2	1122	1653	1185	1598	1220	1456.99
AK3	150.01	232	231.65	322	170	277
AK4	0	5.35	1.08	204	97.04	168.09
AK5	0	0	0	37	0	19
AK6	177.51	181.52	211.04	312.59	158.15	91.68
AK7	0	0	0	0	4	0
AK8	0	0	0	10	9	0
AK9	0	6	19	23	6	10
AKAP1	218	204	266	237	168	273.55
AKAP10	68	83	166	146.15	81	112
AKAP11	68	12	317	385.95	271	293
AKAP12	1082.24	1671	3634.99	3830.15	2123.01	3090.66
AKAP13	263	492	1460	764.84	463	659
AKAP14	0	0	0	0	0	0
AKAP17A	183	353	396	448	235	246
AKAP2	883.23	1250	2606	1961.93	1329.91	1503.04
AKAP3	32	2	28	39	30	11
AKAP4	0	0	0	0	0	0
AKAP5	24.14	38.87	53.3	57.42	25.24	48.1
AKAP6	0	0	7	19	2	3
AKAP7	102	195	121	151	99	189
AKAP8	236	439.8	520.4	600	422	473.01
AKAP8L	133	340	287	386	127	215
AKAP9	166	547	834	679.09	449	464
AKIP1	90	224	124	106	98	138
AKIRIN1	464.54	584.81	608.04	676.92	688.85	776.99
AKIRIN2	29	180	118	96	102	155
AKNA	72	85.17	257.29	110.28	79.64	103.02
AKNAD1	0	0	0	0	0	0
AKR1A1	438	498	325	378	365	339
AKR1B1	613	554	483	702	492.56	651
AKR1C1	1.31	10.41	0	11	6	4.99
AKR1C4	0	5.09	0	0	0	0
AKR1D1	0	0	0	0	0	0
AKR1E2	2	0	14	25	3	15
AKR7A2	59.26	110	120.69	273.2	152.53	196.21
AKT1	774.46	985.93	1302.18	2203.93	1575	1947
AKT1S1	65	176	161	156	155	178
AKT2	62.21	52.43	157.11	456.45	324.13	368.02
AKT3	308	516	965	530.92	268	389
AKTIP	165	94	195	164	105	111
ALAD	31	79	32	29	34	39
ALAS1	37	114	100	47	18	75
ALAS2	0	0	0	0	0	0
ALB	15	89.34	0	0	0	0
ALCAM	99	234	216	425	344.38	392
ALDH16A1	138	126	167	252	350	199
ALDH18A1	182.92	387	363	745	465	833
ALDH1A1	1291	1836.45	2142	104	112	108
ALDH1A2	0	10.53	1.86	9.62	0	0
ALDH1A3	0	3	0	0	11	0
ALDH1B1	46	102	89	268	196	188
ALDH1L1	12	18	2	11	18	8
ALDH1L2	222	442	668	251	108	167
ALDH2	405	922	798.99	698	578	750
ALDH3A1	0	0	0	0	0	0
ALDH3A2	303.47	609.7	564.67	998.12	679.24	575.62
ALDH3B1	0	1	0	28	37	21
ALDH3B2	0	0	0	0	0	0
ALDH4A1	47	40	117	102	96	88
ALDH5A1	15	37	41	58	41	42
ALDH6A1	26.92	5.34	89.35	122.69	58.77	59.36
ALDH7A1	135.81	171.88	183.94	236.59	267.47	357.26
ALDH8A1	0	0	0	11.16	0	2.01
ALDH9A1	1275	1568	1640	1527	1263	1193.89
ALDOA	1501.07	2051.01	2238.75	2501.13	1920.23	2395.15
ALDOB	0	0	0	0	0	0
ALDOC	83	109	76	153	96	98
ALG1	36	48	52	102	96	49
ALG11	5	143	131.99	125	55	141
ALG12	38	95	151	187	116	141
ALG13	118	211	237	159	138	115
ALG14	73	132	25	45	75	89
ALG2	109	92	60	45	94	74
ALG3	19	5	48	43	11	45
ALG5	344	509	377	253	290	298
ALG6	82	45.98	146	116.8	40	83
ALG8	117	133	202	283	191	214
ALG9	59.15	33.18	51.4	56.61	64.35	104.22
ALK	0	0	0	4	0	2
ALKBH1	21	4	55	75	0	36
ALKBH2	99	129	69	200	136	211
ALKBH3	123	195	133	147	107	79
ALKBH4	42.29	85.78	125.19	86.09	61.76	79.33
ALKBH5	111.99	201.21	275	423.34	307	337
ALKBH6	50	15	59	54	38	43
ALKBH7	72	125	65	29	113	42
ALKBH8	20	70	98	254.77	147	167.01
ALLC	12	0	3	0	0	0
ALMS1	33	5	105	245	149	169
ALOX12	0	3	2	0	0	1
ALOX12B	0	0	0	0	0	0
ALOX15	0	17.06	3	0	6	7
ALOX15B	0	0	3	0.45	0	0
ALOX5	0	0	4	0	0	0
ALOX5AP	0	0	3	16	9	12
ALOXE3	0	0	0	0	0	0
ALPI	0	0	0	0	0	0
ALPK1	0	0	6	0	0	0
ALPK2	1	0	0	21	48	59
ALPK3	26	10	11	41.99	7	5
ALPL	0	4	0	0	11	5
ALS2	203	529	554	687.83	437	474
ALS2CL	0	2.31	2	9	0	4
ALS2CR11	0	0	0	0	0	0
ALS2CR12	0	0	3	9	0	6
ALX1	0	0	0	0	5	0
ALX3	0	0	0	0	0	0
ALX4	0	0	0	0	0	0
ALYREF	263	407	258	613	583	557
AMACR	50	99	35	73	41	52
AMBN	0	0	0	0	0	0
AMBP	0	0	0	0	0	0
AMBRA1	12	9	97	111	110	158
AMD1	937.27	963.04	822.92	2005.9	1576.96	1484.88
AMDHD1	0	0	0	0	0	0
AMDHD2	30	79	89.2	115	98	44
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	13	15	36	76	36	71
AMER2	1.36	24.23	2.19	1.25	7.75	16.35
AMER3	0	1	0	0	0	0
AMFR	333	397	602	873	644.99	762
AMH	0	0	0	0	0	0
AMHR2	0	0	0	21	0	0
AMIGO1	0	0	1	27	9	5
AMIGO2	46	37	80	201.98	137.96	145
AMIGO3	3.02	0	18.53	48.08	34.12	10.01
AMMECR1	24	30	52	59	51	61
AMMECR1L	74	257	220	250	200	198
AMN	0	0	0	0	0	0
AMN1	60.57	53	27.39	50.04	33	16
AMOT	19.02	27.02	182.56	400.8	318.33	343.59
AMOTL1	269	469	806.09	1921	1176	1402
AMPD1	0	0	0	0	0	0
AMPD2	191	160	338	298	242	219
AMPD3	0	1	0	24	10	22
AMPH	0	1	0	0	0	0
AMT	118	74	120	112	114	102
AMTN	0	0	0	0	0	0
AMY2B	1.97	37.99	21.66	0	0	0
AMZ1	0	1.05	0	0	0.12	1.08
AMZ2	285.84	492	241.23	331.72	213.84	247.41
ANAPC1	134	190	362	740	506	577
ANAPC10	58	75	52	49	14	40
ANAPC11	428	718	430	617	506	518
ANAPC13	287	578.7	365	234	332	309
ANAPC15	294	549	221.99	152	161	173
ANAPC16	436	577	432	387.99	370	356
ANAPC2	67	118	150	172	116	173
ANAPC4	142	293	385	464	219	265
ANAPC5	281	387	403	336	294	341
ANAPC7	363	453	396	661	451	455
ANGEL1	46.26	110.02	124.57	74	49.24	68.58
ANGEL2	124.31	27.07	168.94	183.51	87.49	171.11
ANGPT1	0	8	5	201	88	138
ANGPT2	665.53	742.92	1012.72	495.17	376.81	476.57
ANGPT4	0	0	0	0	0	0
ANGPTL1	0	0	0	0	0	0
ANGPTL2	0	2	29	115	55	100
ANGPTL3	0	0	0	0	0	0
ANGPTL4	0	0	0	0	10	18
ANGPTL5	0	0	0	0	0	0
ANGPTL6	0	0	0	1	0	0
ANGPTL7	0	0	0	13	0	0
ANGPTL8	0	0	0	0	0	0
ANHX	0	0	0	0	0	0
ANK1	0	4.96	1	18	27	37
ANK2	43	74	132	166	75	217
ANK3	64	207	290	378	193	213
ANKAR	8	0	11	6	17	0
ANKDD1A	2	0	4	4	0	0
ANKDD1B	0	0	14	0	1	10.85
ANKEF1	0	0	0	0	0	0
ANKFN1	0	0	0	0	0	0
ANKFY1	152	194	500.76	559	325	324
ANKH	102	97	235	88	56	66
ANKIB1	216	118	349	342	265	378
ANKK1	0	0	0	0	0	0
ANKLE1	14	35.96	7.27	49.41	14	14.01
ANKLE2	198	351	268	378	180	291
ANKMY1	0	0	3	0	0	0
ANKMY2	188	196	266	511	254	360
ANKRA2	9	136	107	53	27.04	37
ANKRD1	373.52	407	202	1363	842.98	986
ANKRD10	342	415	396.95	157	122	118
ANKRD11	618	1742	1774.21	1799.37	1353.52	1742.87
ANKRD13A	289	343	463	354	190	152
ANKRD13B	17	1	8	14	3	3
ANKRD13C	380	542	480	772	498	587.93
ANKRD13D	42	60	46	5	28	29
ANKRD16	31	0	13	4	15	11
ANKRD2	0	1	3	0	0	0
ANKRD22	0	0	0	0	4.01	0
ANKRD23	0	1	7	3	5	2.07
